Id,key,text
1,English,English
2,Chinese,中文
3,Russian,русский язык
4,French,Français
5,German,Deutsch
6,Portuguese,Português
7,Spanish,Español
8,Japanese,日本語
9,Italian,Italiano
10,Continue,继续游戏
11,NewGame,新游戏
12,Setting,设置
13,Exit,退出
14,FullScreen,全屏
15,Windows,窗口
16,Fullscreen,全屏
17,Resolution,分辨率
18,Language,语言
19,Sound,音效
20,Music,音乐
21,SelectStageTip,选择地图
22,Warrior,勇士
23,Blacksmith,铁匠
24,Priest,厨师
25,Magician,魔术师
26,Scholar,学者
27,Alchemist,炼金术士
28,HeavyAttack,重击
29,Hack,乱劈
30,Repair,锻造
31,Substitution,置换
32,Accomplishment,饱餐
33,Grow,锻炼
34,Transposition,换位
35,MagicShuffle,洗牌
36,Research,制造
37,Bargaining,讨价
38,Reconstruction,炼金
39,Alchemy,重组
40,Deterrence,天火
41,FlashKilling,流沙
42,Treasure,宝藏
43,Profit,利息
44,Strengthen,强化
45,SteelPlate,淬火
46,Selected,祈祷
47,Brewing,酿造
48,LightningStrike,雷击
49,EatSoul,魅惑之箭
50,Regenerate,畅饮
51,Patch,冰之盾
52,StealArmor,天网
53,StealingMedicine,吸血蛛
54,Breakthrough,风暴
55,Sweeping,光箭
56,Smoking,血手
57,Confuse,抛射
58,Sacrifice,十字斩
59,Casting,修补
60,Recovery,包扎
61,Lick,吸食
62,Shanggong,幻化
63,Change,炼化
64,Marching Bed,扎啤
65,Crossbow Arrow,弩箭
66,Saddle,肩甲
67,Stimulants,护心甲
68,Anvil,铁砧
69,Bellows,打铁锤
70,Knee Pads,春生靴
71,Tent,行军锅
72,Catalyzer,催化剂
73,Crystal,水晶
74,Note,笔记
75,Stunt Doll,替身玩偶
76,Biography of the Gods,诸神传记
77,Deity Statue,祈祷项链
78,Evolutionism,科学理论
79,Alchemy Handbook,炼金手册
80,Conversion Potion,转化药水
81,Alchemy Formula,炼金配方
82,Blood Bag,咖啡
83,Charge,魔力剑
84,Bandage,医疗手册
85,Needle and Thread,针线包
86,Rum,生命水晶
87,Quiver,烈日杖
88,Long Boots,复苏戒指
89,Kettle,水杯
90,Grenade,幻影弩
91,Hand Cocoon,真皮手套
92,Pistol,寒冰弓
93,Spear,回马枪
94,Horseshoe Iron,冲锋盾
95,Glass,金杯
96,poison,毒药
97,Cape,黄金披风
98,Anti Armor,恶魔肩甲
99,Golden Beetle,春木肩甲
100,Heart,魔龙心脏
101,Animal Skin,黄金餐具
102,Cooking Pot,附魔铁锤
103,Order Form,订单
104,Knapsack,老旧提灯
105,Cake,军旗
106,Glove,窃贼手套
107,Suncha,魔剑
108,Nut,七彩石
109,Beer,龙葵
110,Wallet,钱袋
111,Mushroom,孢子
112,Refined Iron,陨铁
113,Treasure Chest,金药水
114,Bomb,炸弹
115,Newborn,新生
116,Trophy Box,狗牌箱
117,Brainwashing,洗脑
118,Disperse,驱散
119,Obliterate,抹杀
130,Empty,
131,DmgNear,对最近的敌人造成{0}点伤害
132,DmgFar,对最远的怪物造成{0}点伤害
133,DmgAll,对所有敌人造成{0}点伤害
134,DmgBattle,对目标敌人造成{0}点伤害
135,DmgRandom,对随机敌人造成{0}点伤害
136,DmgRandomByOutValue,"对随机敌人造成伤害,每触发一个技能伤害增加{0}点伤害"
137,DmgRightLine,对所在行的怪物造成{0}点伤害
138,DmgDownLine,对所在列的怪物造成{0}点伤害
139,DmgRightDownLine,对所在行和列的怪物造成{0}点伤害
140,DmgRight,对右侧怪物造成{0}点伤害
141,DmgDown,对下侧怪物造成{0}点伤害
142,AddAllArmor,所有护甲卡+{0}
143,AddRandomArmor,随机护甲卡+{0}
144,AddAllHP,所有药水卡牌+{0}
145,AddRandomHP,随机药水卡牌+{0}
146,AddAllCoin,所有金币卡牌+{0}
147,AddRandomCoin,随机金币卡牌+{0}
148,LowPrice,神器卡牌降价{0}
149,GetHP,恢复{0}点生命
150,GetHPMax,最大生命值+{0}
151,GetArmor,获得{0}点护甲
152,GetCoin,获得{0}枚金币
153,GetTrophy,获得{0}个战利品
154,RecoverAll,恢复所有生命值
155,SwitchHPToArmor,保留1点生命，其余转换为护甲
156,SwitchRightDown,将右侧与下侧的卡牌位置互换
157,Shuffle,随机放置场上剩下的卡牌
158,TransfomRandom,随机变换一张卡牌
161,StoleAllArmor,窃取所有护甲{0}点
162,StoleAllHP,窃取所有生命{0}点
163,StoleAllCoin,窃取所有金币{0}枚
164,StoleAllDmg,吸取所有敌人{0}点生命
165,StoleRightLine,吸取所在行敌人{0}点生命
166,StoleDownLine,吸取所在列敌人{0}点生命
167,StoleRoundArmor,窃取附近护甲卡牌{0}点护甲
168,StoleRoundHP,窃取附近药水卡牌{0}点
169,StoleRoundCoin,窃取附近金币{0}枚
170,StoleRoundDmg,吸取附近怪物{0}点生命
171,LootRandomArmor,随机拾取一张护甲卡
172,LootRandomHP,随机拾取一张血瓶卡
173,LootRandomCoin,随机拾取一张金币卡
174,FillArtifact,获得替身娃娃
175,DmgPlayer,受到{0}点伤害
176,DmgHP,生命受到{0}点伤害
177,DmgArmor,护甲受到{0}点伤害
178,BleedHP,受到{0}点流血伤害
179,CleanBuff,清除所有状态
180,CleanMist,驱散迷雾
181,KillRandom,随机抹杀怪物
182,FloorStart,每层开始时
183,CampStart,进入营地时
184,GenCard,生成卡牌时
185,Step,移动时
186,StepRight,向右移动时
187,StepDown,向下移动时
188,StepChange,移动方向变化时
189,StepContinue,连续朝一个方向移动时
190,StepNoArmor,无护甲移动时
191,StepArmor,有护甲移动时
192,StepFullHP,满血移动时
193,EnterBattle,战斗前
194,ExitBattle,战斗结束时
195,ExitBattleFullHP,战斗结束满血时
196,ExitBattleNoArmor,战斗结束没有护甲时
197,LootHP,拾取血瓶卡时
198,LootArmor,拾取护甲卡时
199,LootCoin,拾取金币卡时
200,TriggerSkill,触发技能时
201,BuyArtifact,购买装备时
202,BreakArmor,破甲时
203,DeadHurt,受到致命伤害时
204,AbilityErrorFix,技能步伐错误时倒退读条而不是清空
205,AbilityEscap,受到致命伤害时，消耗一个替身娃娃并脱身
206,AbilityAppendage,"拥有Buff时,战斗所有伤害减少{0}点"
207,AbilityBelief,"拾取Buff卡牌时,Buff获得额外{0}持久"
208,AbilityAtheism,"拾取Buff卡牌时,恢复{0}点生命"
209,AbilityAlchemy,获得金币时，获得等量生命
210,AbilityTransform,"必要时,狗牌和金币可以抵消伤害"
211,AbilityChemistry,触发技能时，获得{0}个狗牌
212,BuffRecycle,回收
213,BuffGoldBody,金身
214,BuffExoskeleton,外骨骼
215,BuffRage,狂暴
216,BuffGreedy,贪婪
217,BuffDispassion,冷静
218,BuffDescRecycle,获得的战利品转换为护甲
219,BuffDescGoldBody,获得的金币转换为最大生命值
220,BuffDescExoskeleton,获得的生命转换为护甲
221,BuffDescRage,受到的伤害减半，获得的资源减半
222,BuffDescGreedy,战斗受到的伤害加倍，获得的金币翻倍
223,BuffDescDispassion,不会获得其他Buff
224,PropBomb,炸弹
225,PropNewLife,新生
226,PropTrophyBox,战利品箱
227,ProPurify,洗脑
228,PropDispel,驱散
229,PropKill,抹杀
230,BossAddDmg,提升{0}点伤害
231,BossSubDmg,降低{0}点伤害
232,StageWindPlain,清风平原
233,StageSunsetJungle,落日丛林
234,StagePrimitiveforests,原始森林
235,StageScarletMountain,猩红山地
236,StageMistySwamp,迷雾沼泽
237,StageMoonCanyon,映月峡谷
238,StageTheDeath,死亡之地
239,StageMirageRuins,幻境废墟
240,StageLavaPurgatory,熔岩炼狱
241,StageEndlessPurgatory,无尽地狱
242,StageFloorIndex,第{0}层
243,UIContinue,继续游戏
244,UIStartGame,新游戏
245,UITutorial,教程
246,UIGallery,图鉴
247,UISetting,设置
248,UICredits,鸣谢
249,UIExit,退出
250,UIBack,后退
251,UIBattle,出征
252,UIChallenge,挑战
253,UIVictory,胜利
254,UIFail,失败
255,UIReplayWinTip,再玩一次也许会胜利
256,UIReplayTip,要再玩一次吗
257,UIMainMenu,主菜单
258,UIReplay,再玩一次
259,UIUnlockText,解锁了{0}
260,UIUnlockAll,完成了所有关卡，敬请期待更多关卡
261,UINormalMode,经典模式
262,UIChallengeMode,无尽炼狱
263,UINameHp,生命
264,UINameArmor,护甲
265,UINameCoin,金币
266,UINameTropyh,狗牌
267,UITipHp,请确保永远大于0，否则会死
268,UITipArmor,保护身体免受伤害
269,UITipCoin,主要用于购买神器
270,UITipTrophy,击杀敌人获取，用于在营地里学习技能
271,GameCamp,营地
272,CardNameMist,迷雾
273,CardDescMist,迷雾挡住了视线，靠近一点
274,CardNameRandom,幻象
275,CardDescRandom,只有当你进入时才知道这到底是什么
276,CardDmgText,对你造成{0}点伤害
277,CardNameCoin,金币
278,CardDescCoin,获得{0}枚金币
279,CardNameArmor,护甲
280,CardDescArmor,获得{0}点护甲
281,CardNameHP,金疮药
282,CardDescHP,恢复{0}点生命
283,CardNameStair,入口
284,CardDescStair,通往更深处
285,CardNameDoor,门
286,CardDescDoor,门是用来进入的
287,CardNameKey,钥匙
288,CardDescKey,打开一扇门
289,CardNameLadder,悬崖
290,CardDescLadderRight,从左侧进入，否则会摔倒
291,CardDescLadderDown,从上方进入，否则会摔倒
292,CardNameCamp,营地
293,CardDescCamp,在营地里休整
294,CardNameFinal,终点
295,CardDescFinal,终于要到了
296,CardNameThief,胆小的窃贼
297,CardDescThief,总是尝试从路人身上偷点东西
298,CardNameRobber,劫匪
299,CardDescRobber,缴纳{0}枚金币或者受到等量伤害
300,CardNameCollect,狗牌掠夺者
301,CardDescCollect,缴纳{0}个狗牌或者受到等量伤害
302,DeveloperNoWrite,作者忘了
303,DeveloperNoWriteDesc,赶紧去告诉作者吧
304,StageWindPlainKey,利用Buff强化自身
305,StageSunsetJungleKey,Buff是把双刃剑，请谨慎
306,StagePrimitiveforestsKey,散落的各种道具或许有点用
307,StageScarletMountainKey,那些悬崖要从特定方向进入，否则可能会摔伤
308,StageMistySwampKey,迷雾笼罩着部分区域，靠近一点看看
309,StageMoonCanyonKey,那些小偷不伤人，总尝试盗窃路过的每一个人
310,StageTheDeathKey,没有钱就要挨揍(出自强盗)
311,StageMirageRuinsKey,你的懦弱就是我的勇气
312,StageLavaPurgatoryKey,地狱的火灼烧着你的每一步
313,StageEndlessPurgatoryKey,永远没有尽头也要尽力而为
314,MonsterName_1_1,黑角羊
315,MonsterName_1_2,牛
316,MonsterName_1_3,野猪
317,MonsterName_1_4,野狼
318,MonsterName_1_5,魔犬
319,MonsterName_1_6,猎狗
320,MonsterName_1_7,大角鹿
321,MonsterName_1_8,剑齿虎
322,MonsterName_1_9,金刚
323,MonsterName_1_10,棕熊
324,MonsterName_1_11,猛犸象
325,MonsterName_1_12,狮鹫
326,MonsterName_2_1,矿工
327,MonsterName_2_2,哥布林骷髅
328,MonsterName_2_3,哥布林射手
329,MonsterName_2_4,盗贼
330,MonsterName_2_5,哥布林法师
331,MonsterName_2_6,哥布林战士
332,MonsterName_2_7,哥布林巫师
333,MonsterName_2_8,哥布林勇士
