Id,key,text,
1,English,English,
2,Chinese,中文,
3,Russian,русский язык,
4,French,Français,
5,German,Deutsch,
6,Portuguese,Português,
7,Spanish,Español,
8,Japanese,日本語,
9,Italian,Italiano,
10,Continue,Continue,
11,NewGame,New game,
12,Setting,Setting,
13,Exit,Quit,
14,FullScreen,Full Screen,
15,Windows,Window,
16,Fullscreen,Fullscreen,
17,Resolution,Resolution,
18,Language,Language,
19,Sound,Sound,
20,Music,Music,
21,SelectStageTip,Select Dungeon,
22,Warrior,Warrior,
23,Blacksmith,Blacksmith,
24,Priest,Chef,
25,Magician,Magician,
26,Scholar,Scholar,
27,Alchemist,Alchemist,
28,HeavyAttack,Heavy Attack,
29,Hack,Hack,
30,Repair,Repair,
31,Substitution,Substitution,
32,Accomplishment,Accomplishment,
33,Grow,Grow,
34,Transposition,Transposition,
35,MagicShuffle,Shuffle,
36,Research,Research,
37,Bargaining,Bargaining,
38,Reconstruction,Reconstruction,
39,Alchemy,Alchemy,
40,Deterrence,Deterrence,
41,FlashKilling,Flash Killing,
42,Treasure,Treasure,
43,Profit,Profit,
44,Strengthen,Strengthen,
45,SteelPlate,Steel Plate,
46,Selected,Selected,
47,Brewing,Brewing,
48,LightningStrike,Lightning Strike,
49,EatSoul,Eat Soul,
50,Regenerate,Regenerate,
51,Patch,Patch,
52,StealArmor,Steal Armor,
53,StealingMedicine,Stealing Medicine,
54,Breakthrough,Breakthrough,
55,Sweeping,Sweeping,
56,Smoking,Smoking,
57,Confuse,Confuse,
58,Sacrifice,Sacrifice,
59,Casting,Casting,
60,Recovery,Recovery,
61,Lick,Lick,
62,Shanggong,Shanggong,
63,Change,Change,
64,Marching Bed,Draft Beer,
65,Crossbow Arrow,Crossbow,
66,Saddle,Shoulder,
67,Stimulants,Heart  Armor,
68,Anvil,Anvil,
69,Bellows,Iron Hammer,
70,Knee Pads,Spring Life Boots,
71,Tent,Field Cauldron,
72,Catalyzer,Catalyzer,
73,Crystal,Magic Crystal,
74,Note,Ink,
75,Stunt Doll,Standing doll,
76,Biography of the Gods,Story of Gods,
77,Deity Statue,Prayer Necklace,
78,Evolutionism,Scientific Theory,
79,Alchemy Handbook,Alchemy Manual,
80,Conversion Potion,Conversion Potion,
81,Alchemy Formula,Alchemy Recipes,
82,Blood Bag,Coffee,
83,Charge,Magic Sword,
84,Bandage,Medical Handbook,
85,Needle and Thread,Needle and Thread Kit,
86,Rum,Health Crystal,
87,Quiver,Staff of the Blazing Sun,
88,Long Boots,Recovery Ring,
89,Kettle,Water Cup,
90,Grenade,Phantom Crossbow,
91,Hand Cocoon,Leather Gloves,
92,Pistol,Ice Bow,
93,Spear,Horseback Lance,
94,Horseshoe Iron,Charge Shield,
95,Glass,Gold Chalice,
96,poison,Poison,
97,Cape,Gold Cloak,
98,Anti Armor,Demon Shoulder Armor,
99,Golden Beetle,Springwood Shoulder Armor,
100,Heart,Dragon's Heart,
101,Animal Skin,Gold Cutlery,
102,Cooking Pot,Enchanted Hammer,
103,Order Form,Orders,
104,Knapsack,Old Lamp,
105,Cake,Military Flag,
106,Glove,Thief's Gloves,
107,Suncha,Magic Sword,
108,Nut,Colorful Stones,
109,Beer,Dragonflower,
110,Wallet,Money Bag,
111,Mushroom,Spores,
112,Refined Iron,Meteorite Iron,
113,Treasure Chest,Gold Potion,
114,Bomb,Bombshell,
115,Newborn,Newborn,
116,Trophy Box,God Tag Crate,
117,Brainwashing,Brainwashing,
118,Disperse,Dispersion,
119,Obliterate,Erase,
130,Empty,,
131,DmgNear,Deals {0} damage to the nearest enemy,
132,DmgFar,Deals {0} damage to the farest enemy,
133,DmgAll,Deals {0} damage to all enemies,
134,DmgBattle,Deals {0} damage to the target enemy,
135,DmgRandom,Deals {0} damage to a random enemy,
136,DmgRandomByOutValue,"Deals damage to a random enemy, adding {0} damage for each skill triggered.",
137,DmgRightLine,Deal {0} damage to the enemies in the you row,
138,DmgDownLine,Deal {0} damage to the enemies in the you column,
139,DmgRightDownLine,Deal {0} damage to the enemies in the you row or column,
140,DmgRight,Deal {0} damage to the enemy on your right side,
141,DmgDown,Deal {0} damage to the enemy on your down side,
142,AddAllArmor,All armor cards +{0},
143,AddRandomArmor,Random armor card +{0},
144,AddAllHP,All potion cards +{0},
145,AddRandomHP,Random potion card +{0},
146,AddAllCoin,All coin cards +{0},
147,AddRandomCoin,Random coin card +{0},
148,LowPrice,Artifact cards price reduction {0},
149,GetHP,Recover {0} health,
150,GetHPMax,Health Maximum +{0},
151,GetArmor,Gain {0} armor,
152,GetCoin,Gain {0} coins,
153,GetTrophy,Gain {0} god tag,
154,RecoverAll,Recover all health,
155,SwitchHPToArmor,Retain 1 health and convert the rest to armor,
156,SwitchRightDown,Swap the card positions on the right side with down side,
157,Shuffle,Disrupting card positions on the chess,
158,TransfomRandom,Transform a card,
161,StoleAllArmor,Steal {0} armors from each armor card,
162,StoleAllHP,Steal {0} health from each potion card,
163,StoleAllCoin,Steal {0} coins from each coin card,
164,StoleAllDmg,Draw {0} health from each enemy card,
165,StoleRightLine,Draw {0} health from each enemy card in the your row,
166,StoleDownLine,Draw {0} health from each enemy card in the your column,
167,StoleRoundArmor,Draw {0} armors from the near armor cards,
168,StoleRoundHP,Draw {0} health from the near health cards,
169,StoleRoundCoin,Steal {0} coins from the near coin cards,
170,StoleRoundDmg,Draw {0} health from the near potion cards,
171,LootRandomArmor,Loot a random armor card,
172,LootRandomHP,Loot a random potion card,
173,LootRandomCoin,Loot a random coin card,
174,FillArtifact,Gain a Standing doll,
175,DmgPlayer,Suffered {0} damage,
176,DmgHP,Suffered {0} damage to health,
177,DmgArmor,Suffered {0} damage to armor,
178,BleedHP,Suffered {0} damage to bleed,
179,CleanBuff,Remove all buffs,
180,CleanMist,Dispel mist,
181,KillRandom,Randomly kill an enemy,
182,FloorStart,At the beginning of each floor,
183,CampStart,When entering the campsite,
184,GenCard,When generating cards,
185,Step,When moveing,
186,StepRight,When moveing to the right,
187,StepDown,When moveing to the down,
188,StepChange,When moving direction changes,
189,StepContinue,When moving continuously in one direction,
190,StepNoArmor,When moving without armor,
191,StepArmor,When moving with armor,
192,StepFullHP,When moving with full health,
193,EnterBattle,Before the fight,
194,ExitBattle,After the fight,
195,ExitBattleFullHP,When full health after the fight,
196,ExitBattleNoArmor,When without armor after the fight,
197,LootHP,When looting potion card,
198,LootArmor,When looting armor card,
199,LootCoin,When looting coin card,
200,TriggerSkill,When triggering skill,
201,BuyArtifact,When buying artifact,
202,BreakArmor,When Armor-Breaking,
203,DeadHurt,When suffering fataly damage,
204,AbilityErrorFix,Charge backs off instead of clearing when skill is paced incorrectly,
205,AbilityEscap,"When suffering fataly damage, consume a standing doll and get out of the way",
206,AbilityAppendage,Reduce fight damage by {0}  when carrying buff,
207,AbilityBelief,"When looting buff card, the buff gains an additional {0} persistence",
208,AbilityAtheism,Recover {0} health when looting buff card,
209,AbilityAlchemy,Gain an equal amount of health when you gain coin,
210,AbilityTransform,Dog tag and coin can ward off damage if necessary,
211,AbilityChemistry,"When triggering a skill, gain {0} dog tag",
212,BuffRecycle,Recycle,
213,BuffGoldBody,Gold Body,
214,BuffExoskeleton,Exoskeleton,
215,BuffRage,Berserk,
216,BuffGreedy,Greed,
217,BuffDispassion,Calm,
218,BuffDescRecycle,Dog tag gained converted to armor, 
219,BuffDescGoldBody,Gained coin is converted to Health Maximum,
220,BuffDescExoskeleton,Gained health is converted to armor,
221,BuffDescRage,"Suffered damage is halved, gained resources is halved.",
222,BuffDescGreedy,Suffered fight damage is doubled and gained coins is doubled.,
223,BuffDescDispassion,No access to other buffs,
224,PropBomb,Bomb,
225,PropNewLife,Newborn,
226,PropTrophyBox,God tag box,
227,ProPurify,Brainwash,
228,PropDispel,Dispel,
229,PropKill,Erase,
230,BossAddDmg,Increase {0} damage,
231,BossSubDmg,Decrease {0} damage,
232,StageWindPlain,Wind Plain,
233,StageSunsetJungle,Sunset Jungle,
234,StagePrimitiveforests,Primitive Forests,
235,StageScarletMountain,Scarlet Mountain,
236,StageMistySwamp,Mist Swamp,
237,StageMoonCanyon,Moon Canyon,
238,StageTheDeath,The Land of Death,
239,StageMirageRuins,Mirage Ruins,
240,StageLavaPurgatory,Lava Purgatory,
241,StageEndlessPurgatory,Endless Inferno,
242,StageFloorIndex,Floor {0},
243,UIContinue,Continue,
244,UIStartGame,New Game,
245,UITutorial,Tutorial,
246,UIGallery,Gallery,
247,UISetting,Setting,
248,UICredits,Credits,
249,UIExit,Exit,
250,UIBack,Back,
251,UIBattle,Fight,
252,UIChallenge,Challenge,
253,UIVictory,VICTORY,
254,UIFail,FAIL,
255,UIReplayWinTip,Play again and maybe win,
256,UIReplayTip,Want to play again?,
257,UIMainMenu,Menu,
258,UIReplay,Play again,
259,UIUnlockText,Unlocked {0},
260,UIUnlockAll,"Completed all stages, stay tuned for more!",
261,UINormalMode,Classic Game,
262,UIChallengeMode,Infinity Inferno ,
263,UINameHp,Health,
264,UINameArmor,Armor,
265,UINameCoin,Coin,
266,UINameTropyh,Dog tag,
267,UITipHp,Make sure it is always greater than 0 or you will die,
268,UITipArmor,Protect your body from damage,
269,UITipCoin,Mainly used to buy artifacts,
270,UITipTrophy,"Obtained by killing enemys, used to learn skills in the campsite",
271,GameCamp,Campsite,
272,CardNameMist,Mist,
273,CardDescMist,Mist is blocking the view. Come closer,
274,CardNameRandom,Visions.,
275,CardDescRandom,You only know what it really is when you enter it,
276,CardDmgText,Deals {0} damage to you,
277,CardNameCoin,Coin,
278,CardDescCoin,Gain {0} coins,
279,CardNameArmor,Armor,
280,CardDescArmor,Gain {0} armors,
281,CardNameHP,Gold Sore Medicine,
282,CardDescHP,Recover {0} health,
283,CardNameStair,Entrance,
284,CardDescStair,Leads deeper,
285,CardNameDoor,Door,
286,CardDescDoor,Doors are used to enter,
287,CardNameKey,Key,
288,CardDescKey,Opens a door,
289,CardNameLadder,Cliff,
290,CardDescLadderRight,"Enter from the left, otherwise you may get hurt",
291,CardDescLadderDown,"Enter from the up, otherwise you may get hurt",
292,CardNameCamp,Campsite,
293,CardDescCamp,Rest in the campsite,
294,CardNameFinal,The finish line,
295,CardDescFinal,At last we're there,
296,CardNameThief,Cowardly thieves,
297,CardDescThief,Always trying to steal something from a passerby.,
298,CardNameRobber,Robbers.,
299,CardDescRobber,Pay {0} coins or suffer an equal amount of damage,
300,CardNameCollect,God tag robber,
301,CardDescCollect,Pay {0} god tag or suffer an equal amount of damage,
302,DeveloperNoWrite,The author forgot.,
303,DeveloperNoWriteDesc,Go tell the author now.,
304,StageWindPlainKey,Use buffs to strengthen yourself,
305,StageSunsetJungleKey,Buffs are a double-edged sword. Use them with care.,
306,StagePrimitiveforestsKey,The various props scattered about may be of some use.,
307,StageScarletMountainKey,Those cliffs need to be entered from a certain direction or you may fall and get hurt.,
308,StageMistySwampKey,"The mists cover some areas, so get closer and take a look.",
309,StageMoonCanyonKey,"Those thieves don't hurt anyone, they always try to steal from everyone who passes by.",
