Id,key,text
1,English,English
2,Chinese,中文
3,Russian,русский язык
4,French,Français
5,German,Deutsch
6,Portuguese,Português
7,Spanish,Español
8,Japanese,日本語
9,Italian,Italiano
10,Continue,Weiter
11,NewGame,Neues Spiel
12,Setting,Einstellung
13,Exit,Beenden
14,FullScreen,Vollbild
15,Windows,Fenster
16,Fullscreen,Vollbild
17,Resolution,Auflösung
18,Language,Sprache
19,Sound,Ton
20,Music,Musik
21,SelectStageTip,Kerker auswählen
22,Warrior,Krieger
23,Blacksmith,Schmied
24,Priest,Koch
25,Magician,Magier
26,Scholar,Gelehrter
27,Alchemist,Alchemist
28,HeavyAttack,Schwere Attacke
29,Hack,Hack
30,Repair,Reparieren
31,Substitution,Auswechseln
32,Accomplishment,Errungenschaften
33,Grow,Wachsen
34,Transposition,Umsetzen
35,MagicShuffle,Mischen
36,Research,Forschung
37,Bargaining,Verhandeln
38,Reconstruction,Wiederaufbau
39,Alchemy,Alchemie
40,Deterrence,Abschreckung
41,FlashKilling,Blitz-Tötung
42,Treasure,Schätze
43,Profit,Gewinn
44,Strengthen,Verstärken
45,SteelPlate,Stahlplatte
46,Selected,Ausgewählte
47,Brewing,Brauen
48,LightningStrike,Blitzschlag
49,EatSoul,Seele fressen
50,Regenerate,Regenerieren
51,Patch,Flicken
52,StealArmor,Rüstung stehlen
53,StealingMedicine,Medizin stehlen
54,Breakthrough,Durchbruch
55,Sweeping,Fegen
56,Smoking,Rauchen
57,Confuse,Verwirren
58,Sacrifice,Opfern
59,Casting,Gießen
60,Recovery,Wiederherstellung
61,Lick,Lecken
62,Shanggong,Shanggong
63,Change,Ändern
64,Marching Bed,Bier vom Fass
65,Crossbow Arrow,Armbrust
66,Saddle,Schulter
67,Stimulants,Herz-Rüstung
68,Anvil,Amboss
69,Bellows,Eisenhammer
70,Knee Pads,Spring Life Stiefel
71,Tent,Feldkessel
72,Catalyzer,Katalysator
73,Crystal,Magischer Kristall
74,Note,Tinte
75,Stunt Doll,Stehende Puppe
76,Biography of the Gods,Geschichte der Götter
77,Deity Statue,Gebets-Halskette
78,Evolutionism,Wissenschaftliche Theorie
79,Alchemy Handbook,Alchemie-Handbuch
80,Conversion Potion,Verwandlungstrank
81,Alchemy Formula,Alchemie-Rezepte
82,Blood Bag,Kaffee
83,Charge,Zauberschwert
84,Bandage,Medizinisches Handbuch
85,Needle and Thread,Nadel- und Fadenset
86,Rum,Gesundheitskristall
87,Quiver,Stab der flammenden Sonne
88,Long Boots,Genesungsring
89,Kettle,Wasserbecher
90,Grenade,Phantom-Armbrust
91,Hand Cocoon,Lederhandschuhe
92,Pistol,Eisbogen
93,Spear,Lanze zu Pferd
94,Horseshoe Iron,Ladungsschild
95,Glass,Gold-Kelch
96,poison,Gift
97,Cape,Goldmantel
98,Anti Armor,Dämonen Schulter Rüstung
99,Golden Beetle,Springwood Schulter Rüstung
100,Heart,Herz des Drachen
101,Animal Skin,Gold-Besteck
102,Cooking Pot,Verzauberter Hammer
103,Order Form,Orden
104,Knapsack,Alte Lampe
105,Cake,Militärische Flagge
106,Glove,Handschuhe eines Diebes
107,Suncha,Zauberschwert
108,Nut,Bunte Steine
109,Beer,Drachenblume
110,Wallet,Geldbeutel
111,Mushroom,Sporen
112,Refined Iron,Meteoriten-Eisen
113,Treasure Chest,Goldtrank
114,Bomb,Bombengranate
115,Newborn,Neugeborenes
116,Trophy Box,Gott-Tag-Kiste
117,Brainwashing,Gehirnwäsche
118,Disperse,Dispersion
119,Obliterate,Auslöschen
130,Empty,
131,DmgNear,Fügt dem nächstgelegenen Feind {0} Schaden zu
132,DmgFar,Verursacht {0} Schaden am entferntesten Feind
133,DmgAll,Verursacht {0} Schaden an allen Feinden
134,DmgBattle,Verursacht {0} Schaden am Zielgegner
135,DmgRandom,Verursacht {0} Schaden an einem zufälligen Feind
136,DmgRandomByOutValue,"Fügt einem zufälligen Feind Schaden zu, wobei für jede ausgelöste Fähigkeit {0} Schaden hinzugefügt wird."
137,DmgRightLine,Verursacht {0} Schaden an den Feinden in der eigenen Reihe
138,DmgDownLine,Verursacht {0} Schaden an den Gegnern in der Sie-Spalte
139,DmgRightDownLine,Verursacht {0} Schaden an den Feinden in der you-Reihe oder -Spalte
140,DmgRight,Verursache {0} Schaden an dem Feind auf deiner rechten Seite
141,DmgDown,Verursache {0} Schaden an dem Feind auf deiner unteren Seite
142,AddAllArmor,Alle Rüstungskarten +{0}
143,AddRandomArmor,Zufällige Rüstungskarte +{0}
144,AddAllHP,Alle Zaubertrankkarten +{0}
145,AddRandomHP,Zufällige Zaubertrankkarte +{0}
146,AddAllCoin,Alle Münzen-Karten +{0}
147,AddRandomCoin,Zufällige Münzen-Karte +{0}
148,LowPrice,Artefaktkarten Preissenkung {0}
149,GetHP,Wiederherstellung von {0} Gesundheit
150,GetHPMax,Gesundheit Maximum +{0}
151,GetArmor,Gewinnen Sie {0} Rüstungen
152,GetCoin,Gewinnen Sie {0} Münzen
153,GetTrophy,Erhalte {0} Göttermarke
154,RecoverAll,Alle Gesundheit wiederherstellen
155,SwitchHPToArmor,Behalte 1 Gesundheit und wandle den Rest in Rüstungen um
156,SwitchRightDown,Vertausche die Kartenpositionen auf der rechten Seite mit der unteren Seite
157,Shuffle,Kartenpositionen auf dem Schachbrett zerstören
158,TransfomRandom,Eine Karte umwandeln
161,StoleAllArmor,Stehle {0} Rüstungen von jeder Rüstungskarte
162,StoleAllHP,Stiehl {0} Gesundheit von jeder Trankkarte
163,StoleAllCoin,Stehle {0} Münzen von jeder Münzenkarte
164,StoleAllDmg,Ziehe {0} Gesundheit von jeder Feindkarte ab
165,StoleRightLine,Ziehe {0} Gesundheit von jeder gegnerischen Karte in deiner Reihe
166,StoleDownLine,Ziehe {0} Gesundheit von jeder gegnerischen Karte in der eigenen Spalte
167,StoleRoundArmor,Ziehe {0} Rüstungen von den nahen Rüstungskarten
168,StoleRoundHP,Ziehe {0} Gesundheit von den nahen Gesundheitskarten
169,StoleRoundCoin,Stiehl {0} Münzen von den nahen Münzen-Karten
170,StoleRoundDmg,Ziehe {0} Gesundheit von den nahen Trankkarten
171,LootRandomArmor,Plündere eine zufällige Rüstungskarte
172,LootRandomHP,Plündern Sie eine zufällige Zaubertrankkarte
173,LootRandomCoin,Plündere eine zufällige Münzen-Karte
174,FillArtifact,Erhalte eine Stehende Puppe
175,DmgPlayer,Erleidet {0} Schaden
176,DmgHP,Erleidet {0} Schaden an Gesundheit
177,DmgArmor,Erleidet {0} Schaden an Rüstungen
178,BleedHP,Erleidet {0} Schaden durch Blutung
179,CleanBuff,Alle Schwabbeln entfernen
180,CleanMist,Nebel vertreiben
181,KillRandom,Töte zufällig einen Feind
182,FloorStart,Zu Beginn eines jeden Stockwerks
183,CampStart,Beim Betreten des Lagerplatzes
184,GenCard,Beim Generieren von Karten
185,Step,Beim Bewegen
186,StepRight,Wenn du dich nach rechts bewegst
187,StepDown,Beim Bewegen nach unten
188,StepChange,Wenn sich die Bewegungsrichtung ändert
189,StepContinue,Wenn man sich kontinuierlich in eine Richtung bewegt
190,StepNoArmor,Bewegen ohne Rüstung
191,StepArmor,Wenn man sich mit Rüstung bewegt
192,StepFullHP,Wenn man sich mit voller Gesundheit bewegt
193,EnterBattle,Vor dem Kampf
194,ExitBattle,Nach dem Kampf
195,ExitBattleFullHP,Bei voller Gesundheit nach dem Kampf
196,ExitBattleNoArmor,Wenn ohne Rüstung nach dem Kampf
197,LootHP,Beim Plündern der Trankkarte
198,LootArmor,Beim Plündern von Rüstungen
199,LootCoin,Beim Plündern der Münzen-Karte
200,TriggerSkill,Wenn eine Fähigkeit ausgelöst wird
201,BuyArtifact,Beim Kauf eines Artefakts
202,BreakArmor,Wenn Rüstungen zerbrechen
203,DeadHurt,Wenn man tödlichen Schaden erleidet
204,AbilityErrorFix,"Bei falschem Tempo der Fertigkeit wird der Angriff zurückgezogen, anstatt zu klären"
205,AbilityEscap,"Wenn du fatalen Schaden erleidest, verbrauche eine stehende Puppe und gehe aus dem Weg"
206,AbilityAppendage,"Verringert Kampfschaden um {0}, wenn Schwabbel getragen wird"
207,AbilityBelief,Beim Plündern von Schwabbelkarten erhält der Schwabbel zusätzlich {0} Ausdauer
208,AbilityAtheism,Wiederherstellung von {0} Gesundheit beim Plündern von Schwabbelkarten
209,AbilityAlchemy,"Gewinnt die gleiche Menge an Gesundheit, wenn ihr Münzen erhaltet"
210,AbilityTransform,Hundemarke und Münze können bei Bedarf Schaden abwehren
211,AbilityChemistry,"Wenn Sie eine Fertigkeit auslösen, erhalten Sie {0} Hundemarken"
212,BuffRecycle,Wiederverwerten
213,BuffGoldBody,Gold Körper
214,BuffExoskeleton,Exoskelett
215,BuffRage,Berserker
216,BuffGreedy,Gier
217,BuffDispassion,Beruhigen
218,BuffDescRecycle,Gewonnene Hundemarke wird in Rüstung umgewandelt
219,BuffDescGoldBody,Gewonnene Münzen werden in Gesundheit Maximum umgewandelt
220,BuffDescExoskeleton,Gewonnene Gesundheit wird in Rüstung umgewandelt
221,BuffDescRage,"Erlittener Schaden wird halbiert, gewonnene Ressourcen werden halbiert."
222,BuffDescGreedy,Erlittener Kampfschaden wird verdoppelt und gewonnene Münzen werden verdoppelt.
223,BuffDescDispassion,Kein Zugang zu anderen Schwabbeln
224,PropBomb,Bombe
225,PropNewLife,Neugeborenes
226,PropTrophyBox,Gott-Tag-Box
227,ProPurify,Gehirnwäsche
228,PropDispel,Vertreiben
229,PropKill,Auslöschen
230,BossAddDmg,Schaden erhöhen {0}
231,BossSubDmg,Verringern {0} Schaden
232,StageWindPlain,Wind-Ebene
233,StageSunsetJungle,Dschungel im Sonnenuntergang
234,StagePrimitiveforests,Primitive Wälder
235,StageScarletMountain,Scharlachroter Berg
236,StageMistySwamp,Nebel-Sumpf
237,StageMoonCanyon,Mondschlucht
238,StageTheDeath,Das Land des Todes
239,StageMirageRuins,Trugbild-Ruinen
240,StageLavaPurgatory,Lava-Fegefeuer
241,StageEndlessPurgatory,Endloses Inferno
242,StageFloorIndex,Etage {0}
243,UIContinue,Weiter
244,UIStartGame,Neues Spiel
245,UITutorial,Anleitung
246,UIGallery,Galerie
247,UISetting,Einstellung
248,UICredits,Impressum
249,UIExit,Beenden
250,UIBack,Zurück
251,UIBattle,Kämpfen
252,UIChallenge,Herausforderung
253,UIVictory,SIEG
254,UIFail,MISSERFOLG
255,UIReplayWinTip,Nochmal spielen und vielleicht gewinnen
256,UIReplayTip,Willst du noch einmal spielen?
257,UIMainMenu,Menü
258,UIReplay,Erneut spielen
259,UIUnlockText,Freigespielt {0}
260,UIUnlockAll,"Alle Phasen abgeschlossen, bleib dran für mehr!"
261,UINormalMode,Klassisches Spiel
262,UIChallengeMode,Unendliches Inferno 
263,UINameHp,Gesundheit
264,UINameArmor,Rüstung
265,UINameCoin,Münze
266,UINameTropyh,Hundemarke
267,UITipHp,"Achte darauf, dass sie immer größer als 0 ist, sonst wirst du sterben"
268,UITipArmor,Schützt deinen Körper vor Schaden
