Id,key,text
1,English,English
2,Chinese,中文
3,Russian,русский язык
4,French,Français
5,German,Deutsch
6,Portuguese,Português
7,Spanish,Español
8,Japanese,日本語
9,Italian,Italiano
10,Continue,Continua
11,NewGame,Nuovo gioco
12,Setting,Impostazione
13,Exit,Esci
14,FullScreen,Schermo intero
15,Windows,Finestra
16,Fullscreen,Schermo intero
17,Resolution,Risoluzione
18,Language,Lingua
19,Sound,Suono
20,Music,Musica
21,SelectStageTip,Seleziona Dungeon
22,Warrior,Guerriero
23,Blacksmith,Fabbro
24,Priest,Cuoco
25,Magician,Mago
26,Scholar,Studioso
27,Alchemist,Alchimista
28,HeavyAttack,Attacco pesante
29,Hack,Hack
30,Repair,Riparazione
31,Substitution,Sostituzione
32,Accomplishment,Realizzazione
33,Grow,Crescere
34,Transposition,Trasposizione
35,MagicShuffle,Rimescolare
36,Research,Ricerca
37,Bargaining,Contrattazione
38,Reconstruction,Ricostruzione
39,Alchemy,Alchimia
40,Deterrence,Deterrenza
41,FlashKilling,Uccisione lampo
42,Treasure,Tesoro
43,Profit,Profitto
44,Strengthen,Rafforzare
45,SteelPlate,Piastra d'acciaio
46,Selected,Selezionato
47,Brewing,Birra
48,LightningStrike,Colpo di fulmine
49,EatSoul,Mangiare l'anima
50,Regenerate,Rigenerare
51,Patch,Rattoppare
52,StealArmor,Rubare armature
53,StealingMedicine,Rubare medicina
54,Breakthrough,Sfondamento
55,Sweeping,Spazzare
56,Smoking,Fumare
57,Confuse,Confondere
58,Sacrifice,Sacrificare
59,Casting,Colata
60,Recovery,Recupero
61,Lick,Leccare
62,Shanggong,Shanggong
63,Change,Cambiamento
64,Marching Bed,Birra alla spina
65,Crossbow Arrow,Balestra
66,Saddle,Spalla
67,Stimulants,Armatura a cuore
68,Anvil,Incudine
69,Bellows,Martello di ferro
70,Knee Pads,Stivali della Vita a Molla
71,Tent,Calderone da campo
72,Catalyzer,Catalizzatore
73,Crystal,Cristallo magico
74,Note,Inchiostro
75,Stunt Doll,Bambola in piedi
76,Biography of the Gods,Storia degli dei
77,Deity Statue,Collana di preghiera
78,Evolutionism,Teoria scientifica
79,Alchemy Handbook,Manuale di alchimia
80,Conversion Potion,Pozione di conversione
81,Alchemy Formula,Ricette di alchimia
82,Blood Bag,Caffè
83,Charge,Spada magica
84,Bandage,Manuale di medicina
85,Needle and Thread,Kit di aghi e fili
86,Rum,Cristallo della salute
87,Quiver,Bastone del Sole Ardente
88,Long Boots,Anello di recupero
89,Kettle,Coppa d'acqua
90,Grenade,Balestra fantasma
91,Hand Cocoon,Guanti di pelle
92,Pistol,Arco di ghiaccio
93,Spear,Lancia a cavallo
94,Horseshoe Iron,Scudo da carica
95,Glass,Calice d'oro
96,poison,Veleno
97,Cape,Mantello d'oro
98,Anti Armor,Armatura a spalla da demone
99,Golden Beetle,Armatura da spalla di Springwood
100,Heart,Cuore di Drago
101,Animal Skin,Posate d'oro
102,Cooking Pot,Martello incantato
103,Order Form,Ordini
104,Knapsack,Vecchia lampada
105,Cake,Bandiera militare
106,Glove,Guanti da ladro
107,Suncha,Spada magica
108,Nut,Pietre colorate
109,Beer,Fiore di drago
110,Wallet,Borsa del denaro
111,Mushroom,Spore
112,Refined Iron,Meteorite di ferro
113,Treasure Chest,Pozione d'oro
114,Bomb,Bombshell
115,Newborn,Neonato
116,Trophy Box,Cassa con etichetta di Dio
117,Brainwashing,Lavaggio del cervello
118,Disperse,Dispersione
119,Obliterate,Cancellare
130,Empty,
131,DmgNear,Infligge {0} danni al nemico più vicino
132,DmgFar,Infligge {0} danni al nemico più lontano
133,DmgAll,Infligge {0} danni a tutti i nemici
134,DmgBattle,Infligge {0} danni al nemico bersaglio
135,DmgRandom,Infligge {0} danni a un nemico a caso
136,DmgRandomByOutValue,"Infligge danni a un nemico casuale, aggiungendo {0} danni per ogni abilità attivata."
137,DmgRightLine,Infligge {0} danni ai nemici della fila di te
138,DmgDownLine,"Infligge {0} danni ai nemici della colonna ""tu""."
139,DmgRightDownLine,Infligge {0} danni ai nemici nella riga o nella colonna di te
140,DmgRight,Infliggere {0} danni ai nemici alla propria destra
141,DmgDown,Infliggi {0} danni al nemico sul tuo lato in basso
142,AddAllArmor,Tutte le carte armatura +{0}
143,AddRandomArmor,Carta armatura casuale +{0}
144,AddAllHP,Tutte le carte pozione +{0}
145,AddRandomHP,Carta pozione casuale +{0}
146,AddAllCoin,Tutte le carte moneta +{0}
147,AddRandomCoin,Carta moneta casuale +{0}
148,LowPrice,Riduzione del prezzo delle carte artefatto {0}
149,GetHP,Recupero salute {0}
150,GetHPMax,Salute massima +{0}
151,GetArmor,Guadagnare {0} armature
152,GetCoin,Guadagnare {0} monete
153,GetTrophy,Ottenere {0} medaglia di Dio
154,RecoverAll,Recupera tutta la salute
155,SwitchHPToArmor,Conserva 1 salute e converte il resto in armature
156,SwitchRightDown,Scambiare le posizioni delle carte sul lato destro con quelle sul lato basso
157,Shuffle,Scambiare le posizioni delle carte sugli scacchi
158,TransfomRandom,Trasformare una carta
161,StoleAllArmor,Rubare {0} armature da ogni carta armatura
162,StoleAllHP,Rubare {0} salute da ogni carta pozione
163,StoleAllCoin,Rubare {0} monete da ogni carta moneta
164,StoleAllDmg,Prelevare {0} salute da ogni carta nemico
165,StoleRightLine,Pesca {0} salute da ogni carta nemico della tua fila
166,StoleDownLine,Pescare {0} salute da ogni carta nemico nella propria colonna
167,StoleRoundArmor,Pescare {0} armature dalle carte armatura vicine
168,StoleRoundHP,Pescare {0} salute dalle carte vicine salute
169,StoleRoundCoin,Rubare {0} monete dalle carte moneta vicine
170,StoleRoundDmg,Prelevare {0} salute dalle carte pozione vicine
171,LootRandomArmor,Saccheggiare una carta armatura a caso
172,LootRandomHP,Saccheggiare una carta pozione a caso
173,LootRandomCoin,Saccheggiare una carta moneta a caso
174,FillArtifact,Ottenere una bambola in piedi
175,DmgPlayer,Ha subito {0} danni
176,DmgHP,Ha subito {0} danni alla salute
177,DmgArmor,Ha subito {0} danni alle armature
178,BleedHP,Subisce {0} danni all'emorragia
179,CleanBuff,Rimuove tutti i buff
180,CleanMist,Dissipa la nebbia
181,KillRandom,Uccidere un nemico a caso
182,FloorStart,All'inizio di ogni piano
183,CampStart,Quando si entra nell'accampamento
184,GenCard,Quando si generano carte
185,Step,Quando ci si muove
186,StepRight,Quando ci si sposta a destra
187,StepDown,Quando ci si sposta verso il basso
188,StepChange,Quando si cambia direzione di movimento
189,StepContinue,Quando ci si muove continuamente in una direzione
190,StepNoArmor,Quando ci si muove senza armature
191,StepArmor,Quando ci si muove con un'armatura
192,StepFullHP,Quando si muove con la salute piena
193,EnterBattle,Prima del combattimento
194,ExitBattle,Dopo il combattimento
195,ExitBattleFullHP,Quando la salute è piena dopo il combattimento
196,ExitBattleNoArmor,Quando si è senza armature dopo il combattimento
197,LootHP,Quando si saccheggia una carta pozione
198,LootArmor,Quando si saccheggia la carta armatura
199,LootCoin,Quando si saccheggia una carta moneta
200,TriggerSkill,Quando si attiva un'abilità
201,BuyArtifact,Quando si acquista un artefatto
202,BreakArmor,Quando si rompono le armature
203,DeadHurt,Quando si subiscono danni fatali
204,AbilityErrorFix,La carica indietreggia invece di sgombrare quando l'abilità è ritmata in modo errato
205,AbilityEscap,"Quando subisce danni fatali, consuma una bambola in piedi e togliti di mezzo."
206,AbilityAppendage,Riduce i danni da combattimento di {0} quando porta un buff
207,AbilityBelief,"Quando si saccheggia una carta buff, il buff guadagna un'ulteriore persistenza di {0}."
208,AbilityAtheism,Recuperare {0} salute quando si saccheggia una carta buff
209,AbilityAlchemy,Guadagna una quantità uguale di salute quando si guadagna moneta
210,AbilityTransform,"La piastrina per cani e la moneta possono respingere i danni, se necessario."
211,AbilityChemistry,"Quando si attiva un'abilità, si guadagna una piastrina per cani di {0}."
212,BuffRecycle,Riciclare
213,BuffGoldBody,Corpo d'oro
214,BuffExoskeleton,Esoscheletro
215,BuffRage,Berserk
216,BuffGreedy,Avidità
217,BuffDispassion,Calma
218,BuffDescRecycle,La piastrina per cani guadagnata è convertita in armatura
219,BuffDescGoldBody,La moneta guadagnata viene convertita in Salute massima.
220,BuffDescExoskeleton,La salute guadagnata viene convertita in armatura.
221,BuffDescRage,"I danni subiti sono dimezzati, le risorse guadagnate sono dimezzate."
222,BuffDescGreedy,I danni subiti in combattimento sono raddoppiati e le monete guadagnate sono raddoppiate.
223,BuffDescDispassion,Non ha accesso ad altri buff.
224,PropBomb,Bomba
225,PropNewLife,Neonato
226,PropTrophyBox,Scatola delle etichette di Dio
227,ProPurify,Lavaggio del cervello
228,PropDispel,Dissipare
229,PropKill,Cancellare
230,BossAddDmg,Aumenta {0} i danni
231,BossSubDmg,Diminuisci {0} danno
232,StageWindPlain,Pianura del vento
233,StageSunsetJungle,Giungla del tramonto
234,StagePrimitiveforests,Foreste primitive
235,StageScarletMountain,Montagna Scarlatta
236,StageMistySwamp,Palude delle nebbie
237,StageMoonCanyon,Canyon della Luna
238,StageTheDeath,La Terra della Morte
239,StageMirageRuins,Rovine del miraggio
240,StageLavaPurgatory,Purgatorio di Lava
241,StageEndlessPurgatory,Inferno senza fine
242,StageFloorIndex,Piano {0}
243,UIContinue,Continua
244,UIStartGame,Nuovo gioco
245,UITutorial,Tutorial
246,UIGallery,Galleria
247,UISetting,Impostazioni
248,UICredits,Crediti
249,UIExit,Uscita
250,UIBack,Indietro
251,UIBattle,Lotta
252,UIChallenge,Sfida
253,UIVictory,VITTORIA
254,UIFail,SCONFITTA
255,UIReplayWinTip,Gioca di nuovo e forse vinci
256,UIReplayTip,Vuoi giocare di nuovo?
257,UIMainMenu,Menu
258,UIReplay,Gioca di nuovo
259,UIUnlockText,Sbloccato {0}
260,UIUnlockAll,"Completate tutte le fasi, rimanete sintonizzati per altre!"
261,UINormalMode,Gioco classico
262,UIChallengeMode,Inferno dell'infinito 
263,UINameHp,Salute
264,UINameArmor,Armatura
265,UINameCoin,Moneta
266,UINameTropyh,Piastrina per cani
267,UITipHp,Assicuratevi che sia sempre maggiore di 0 o morirete.
268,UITipArmor,Proteggono il corpo dai danni
269,UITipCoin,Utilizzata principalmente per acquistare artefatti
270,UITipTrophy,"Ottenuti uccidendo i nemici, usati per imparare le abilità nel campeggio"
271,GameCamp,Campeggio
272,CardNameMist,Nebbia
273,CardDescMist,La nebbia blocca la visuale. Avvicinati
274,CardNameRandom,Visioni.
275,CardDescRandom,Saprai cos'è veramente solo quando ci entrerai.
276,CardDmgText,Ti infligge {0} danni
277,CardNameCoin,Moneta
278,CardDescCoin,Guadagna {0} monete
279,CardNameArmor,Armature
280,CardDescArmor,Guadagna {0} armature
281,CardNameHP,Medicina per le piaghe d'oro
282,CardDescHP,Recupera {0} salute
283,CardNameStair,Ingresso
284,CardDescStair,Porta in profondità
285,CardNameDoor,Porta
286,CardDescDoor,Le porte servono per entrare
287,CardNameKey,Chiave
288,CardDescKey,Apre una porta
289,CardNameLadder,Scogliera
