Id,key,text
1,English,English
2,Chinese,中文
3,Russian,русский язык
4,French,Français
5,German,Deutsch
6,Portuguese,Português
7,Spanish,Español
8,Japanese,日本語
9,Italian,Italiano
10,Continue,続ける
11,NewGame,新しいゲーム
12,Setting,設定
13,Exit,終了する
14,FullScreen,フルスクリーン
15,Windows,ウィンドウ
16,Fullscreen,フルスクリーン
17,Resolution,解像度
18,Language,言語
19,Sound,サウンド
20,Music,音楽
21,SelectStageTip,ダンジョンを選択
22,Warrior,戦士
23,Blacksmith,鍛冶屋
24,Priest,シェフ
25,Magician,マジシャン
26,Scholar,学者
27,Alchemist,錬金術師
28,HeavyAttack,ヘビーアタック
29,Hack,ハック
30,Repair,リペア
31,Substitution,代用品
32,Accomplishment,達成
33,Grow,成長
34,Transposition,転置
35,MagicShuffle,シャッフル
36,Research,リサーチ
37,Bargaining,交渉
38,Reconstruction,再建
39,Alchemy,錬金術
40,Deterrence,抑止力
41,FlashKilling,フラッシュキリング
42,Treasure,財宝
43,Profit,利益
44,Strengthen,強化
45,SteelPlate,鋼板
46,Selected,厳選
47,Brewing,醸造
48,LightningStrike,ライトニング・ストライク
49,EatSoul,魂を食べる
50,Regenerate,リジェネレイト
51,Patch,パッチ
52,StealArmor,アーマーを盗む
53,StealingMedicine,薬を盗む
54,Breakthrough,ブレイクスルー
55,Sweeping,スイープ
56,Smoking,喫煙
57,Confuse,混乱させる
58,Sacrifice,生け贄
59,Casting,キャスティング
60,Recovery,回復
61,Lick,舐める
62,Shanggong,上宮
63,Change,変更
64,Marching Bed,生ビール
65,Crossbow Arrow,クロスボウ
66,Saddle,ショルダー
67,Stimulants,ハートアーマー
68,Anvil,アンヴィル
69,Bellows,アイアンハンマー
70,Knee Pads,スプリング・ライフ・ブーツ
71,Tent,フィールドコルドロン
72,Catalyzer,カタライザー
73,Crystal,マジック・クリスタル
74,Note,インク
75,Stunt Doll,スタンディングドール
76,Biography of the Gods,神々の物語
77,Deity Statue,祈りのネックレス
78,Evolutionism,科学理論
79,Alchemy Handbook,錬金術マニュアル
80,Conversion Potion,変換ポーション
81,Alchemy Formula,錬金術レシピ
82,Blood Bag,コーヒー
83,Charge,魔法の剣
84,Bandage,医療ハンドブック
85,Needle and Thread,針と糸キット
86,Rum,ヘルス・クリスタル
87,Quiver,燃える太陽の杖
88,Long Boots,回復リング
89,Kettle,ウォーターカップ
90,Grenade,ファントム・クロスボウ
91,Hand Cocoon,レザーグローブ
92,Pistol,氷の弓
93,Spear,ホースバックランス
94,Horseshoe Iron,チャージシールド
95,Glass,金の聖杯
96,poison,ポイズン
97,Cape,ゴールドマント
98,Anti Armor,デーモンショルダーアーマー
99,Golden Beetle,スプリングウッドショルダーアーマー
100,Heart,ドラゴンの心臓
101,Animal Skin,ゴールドカトラリー
102,Cooking Pot,エンチャントハンマー
103,Order Form,勲章
104,Knapsack,古いランプ
105,Cake,軍旗
106,Glove,盗賊の手袋
107,Suncha,魔法の剣
108,Nut,カラフルな石
109,Beer,ドラゴンフラワー
110,Wallet,お金袋
111,Mushroom,胞子
112,Refined Iron,隕鉄
113,Treasure Chest,ゴールドポーション
114,Bomb,ボムシェル
115,Newborn,新生児
116,Trophy Box,ゴッドタグクレート
117,Brainwashing,洗脳
118,Disperse,分散
119,Obliterate,消去
130,Empty,
131,DmgNear,最も近い敵に{0}ダメージ
132,DmgFar,最も遠い敵に{0}ダメージ
133,DmgAll,全ての敵に{0}ダメージ
134,DmgBattle,対象の敵に{0}ダメージ
135,DmgRandom,ランダムな敵に{0}ダメージ
136,DmgRandomByOutValue,ランダムな敵にダメージを与え、スキルが発動するごとに{0}ダメージを加算する。
137,DmgRightLine,自列の敵に{0}ダメージ
138,DmgDownLine,あなた列の敵に{0}ダメージを与える
139,DmgRightDownLine,あなたの行か列にいる敵に{0}ダメージを与える。
140,DmgRight,あなたの右側の敵に{0}ダメージを与える
141,DmgDown,下側の敵に{0}ダメージを与える
142,AddAllArmor,すべてのアーマーカード +{0}
143,AddRandomArmor,ランダムアーマーカード ＋{0}
144,AddAllHP,すべてのポーションカード +{0}
145,AddRandomHP,ランダムなポーションカード +{0}
146,AddAllCoin,すべてのコインカード +{0}
147,AddRandomCoin,ランダムコインカード +{0}
148,LowPrice,アーティファクトカードの値下げ {{0}
149,GetHP,ヘルス{0}回復
150,GetHPMax,ヘルス最大値 +{0}
151,GetArmor,{0}アーマーを得る
152,GetCoin,{0}コインを得る
153,GetTrophy,{0}神札を得る
154,RecoverAll,ヘルスをすべて回復する
155,SwitchHPToArmor,ヘルスを1残し、残りをアーマーに変換する
156,SwitchRightDown,右側と下側のカードの位置を入れ替える
157,Shuffle,チェスのカードの位置を崩す
158,TransfomRandom,カードを変形させる
161,StoleAllArmor,アーマーカードから{0}アーマーを奪う
162,StoleAllHP,各ポーションカードから{0}ヘルスを盗む
163,StoleAllCoin,各コインカードから{0}コインを盗む
164,StoleAllDmg,各敵カードから{0}ヘルスを奪う
165,StoleRightLine,自分の列の各敵カードから{0}ヘルスを奪う
166,StoleDownLine,自分の列の各敵カードから{0}ヘルスを引く
167,StoleRoundArmor,近くのアーマーカードから{0}アーマーを引きます。
168,StoleRoundHP,近くのヘルスカードから{0}ヘルスを引く
169,StoleRoundCoin,近くのコインカードから{0}コインを盗む
170,StoleRoundDmg,近くのポーションカードから{0}ヘルスを引き出す
171,LootRandomArmor,ランダムなアーマーカードを略奪する。
172,LootRandomHP,ランダムなポーションカードを略奪する
173,LootRandomCoin,ランダムなコインカードを略奪する
174,FillArtifact,立っている人形を獲得する
175,DmgPlayer,{0}ダメージを受けた
176,DmgHP,ヘルスに{0}ダメージ
177,DmgArmor,アーマーに{0}ダメージ
178,BleedHP,出血に{0}ダメージ
179,CleanBuff,すべてのバフを取り除く
180,CleanMist,霧を消す
181,KillRandom,ランダムで敵を倒す
182,FloorStart,各フロア開始時
183,CampStart,キャンプ場入場時
184,GenCard,カード生成時
185,Step,移動時
186,StepRight,右に移動するとき
187,StepDown,下に移動するとき
188,StepChange,移動方向が変わるとき
189,StepContinue,一方向に動き続けるとき
190,StepNoArmor,アーマーなしで移動する場合
191,StepArmor,アーマーありの場合
192,StepFullHP,ヘルスが満タンのとき
193,EnterBattle,戦闘前
194,ExitBattle,戦闘後
195,ExitBattleFullHP,ヘルスが満タンのとき
196,ExitBattleNoArmor,戦闘後、アーマーがないとき
197,LootHP,ポーションカードを略奪したとき
198,LootArmor,アーマーカードを略奪した時
199,LootCoin,コインカード略奪時
200,TriggerSkill,スキル発動時
201,BuyArtifact,アーティファクト購入時
202,BreakArmor,アーマーブレイク時
203,DeadHurt,致命的なダメージを受けたとき
204,AbilityErrorFix,スキルのペースが正しくない場合、チャージがクリアされずに後退する。
205,AbilityEscap,致命的なダメージを受けた時、立ち回りの人形を消費して道を空ける。
206,AbilityAppendage,バフを所持している時、戦闘ダメージを{0}減少させる。
207,AbilityBelief,バフカードを略奪したとき、バフの持続力が{0}増加する
208,AbilityAtheism,バフカード略奪時、ヘルスを{0}回復する
209,AbilityAlchemy,コイン獲得時に同量のヘルスを得る
210,AbilityTransform,ドッグタグとコインは必要に応じてダメージを防ぐことができる。
211,AbilityChemistry,スキル発動時に{0}ドッグタグを得る
212,BuffRecycle,リサイクル
213,BuffGoldBody,ゴールドボディ
214,BuffExoskeleton,外骨格
215,BuffRage,バーサーク
216,BuffGreedy,強欲
217,BuffDispassion,冷静
218,BuffDescRecycle,獲得したドッグタグはアーマーに変換される
219,BuffDescGoldBody,獲得したコインをヘルスマキシマムに変換
220,BuffDescExoskeleton,獲得したヘルスをアーマーに変換
221,BuffDescRage,被ダメージ半減、獲得資源半減
222,BuffDescGreedy,被戦闘ダメージが2倍、獲得コインが2倍になる。
223,BuffDescDispassion,他のバフは使用できない。
224,PropBomb,ボム
225,PropNewLife,ニューボーン
226,PropTrophyBox,神札ボックス
227,ProPurify,洗脳
228,PropDispel,ディスペル
229,PropKill,消去
230,BossAddDmg,{0}ダメージ増加
231,BossSubDmg,{0}ダメージを減らす
232,StageWindPlain,風の平原
233,StageSunsetJungle,夕暮れのジャングル
234,StagePrimitiveforests,原始林
235,StageScarletMountain,緋色の山
236,StageMistySwamp,霧の沼
237,StageMoonCanyon,ムーン・キャニオン
238,StageTheDeath,死の国
239,StageMirageRuins,蜃気楼の遺跡
240,StageLavaPurgatory,溶岩の煉獄
241,StageEndlessPurgatory,エンドレス・インフェルノ
242,StageFloorIndex,フロア{0}
243,UIContinue,コンティニュー
244,UIStartGame,新しいゲーム
245,UITutorial,チュートリアル
246,UIGallery,ギャラリー
247,UISetting,設定
248,UICredits,クレジット
249,UIExit,退場
250,UIBack,戻る
251,UIBattle,ファイト
252,UIChallenge,挑戦
253,UIVictory,勝利
254,UIFail,敗北
255,UIReplayWinTip,もう一度プレイして、勝つかもしれない
256,UIReplayTip,もう一度プレイしたいですか？
257,UIMainMenu,メニュー
258,UIReplay,もう一度プレイする
259,UIUnlockText,アンロック {0}
260,UIUnlockAll,全ステージクリア！
261,UINormalMode,クラシックゲーム
262,UIChallengeMode,インフィニティ・インフェルノ 
263,UINameHp,ヘルス
264,UINameArmor,アーマー
265,UINameCoin,コイン
266,UINameTropyh,ドッグタグ
267,UITipHp,常に0以上でないと死ぬ。
268,UITipArmor,ダメージから体を守る
269,UITipCoin,主にアーティファクトの購入に使用する。
270,UITipTrophy,敵を倒すと手に入り、キャンプ場でスキルを習得するのに使う
271,GameCamp,キャンプ場
272,CardNameMist,霧
273,CardDescMist,霧が視界を遮っている。近づく
274,CardNameRandom,幻。
275,CardDescRandom,その中に入って初めて、本当の姿がわかる。
276,CardDmgText,あなたに{0}ダメージを与える
277,CardNameCoin,コイン
278,CardDescCoin,{0}コインを得る
279,CardNameArmor,アーマー
280,CardDescArmor,{0}アーマーを獲得する
281,CardNameHP,金の傷薬
282,CardDescHP,{0}ヘルスを回復する
283,CardNameStair,入り口
284,CardDescStair,奥へ続く
285,CardNameDoor,扉
286,CardDescDoor,ドアは入るときに使います。
287,CardNameKey,鍵
288,CardDescKey,ドアを開ける
289,CardNameLadder,崖
290,CardDescLadderRight,左から入ると怪我をします。
291,CardDescLadderDown,上から入ると怪我をします。
292,CardNameCamp,キャンプ場
293,CardDescCamp,キャンプ場で休憩
294,CardNameFinal,ゴール地点
295,CardDescFinal,ついに到着
296,CardNameThief,臆病な泥棒たち
297,CardDescThief,いつも通行人から何かを盗もうとしている。
298,CardNameRobber,強盗。
299,CardDescRobber,{0}コインを払うか、同額のダメージを受けるか。
300,CardNameCollect,神札強盗
301,CardDescCollect,{0}の神札を支払うか、同額のダメージを受ける。
302,DeveloperNoWrite,作者が忘れています。
303,DeveloperNoWriteDesc,今すぐ作者に言いに行け。
304,StageWindPlainKey,バフを使って自分を強化する
305,StageSunsetJungleKey,バフは諸刃の剣である。慎重に使おう。
306,StagePrimitiveforestsKey,散らばっている様々な小道具が役に立つかもしれない。
307,StageScarletMountainKey,あの崖は一定方向から入らないと落ちて怪我をする可能性がある。
