Id,key,text
1,English,English
2,Chinese,中文
3,Russian,русский язык
4,French,Français
5,German,Deutsch
6,Portuguese,Português
7,Spanish,Español
8,Japanese,日本語
9,Italian,Italiano
10,Continue,Continuar
11,NewGame,Novo jogo
12,Setting,Definir
13,Exit,Sair
14,FullScreen,Ecrã inteiro
15,Windows,Janela
16,Fullscreen,Ecrã total
17,Resolution,Resolução
18,Language,Idioma
19,Sound,Som
20,Music,Música
21,SelectStageTip,Selecionar masmorra
22,Warrior,Guerreiro
23,Blacksmith,Ferreiro
24,Priest,Chefe de cozinha
25,Magician,Mago
26,Scholar,Erudito
27,Alchemist,Alquimista
28,HeavyAttack,Ataque Pesado
29,Hack,Hackear
30,Repair,Reparação
31,Substitution,Substituição
32,Accomplishment,Realização
33,Grow,Crescer
34,Transposition,Transposição
35,MagicShuffle,Baralhar
36,Research,Pesquisa
37,Bargaining,Negociação
38,Reconstruction,Reconstrução
39,Alchemy,Alquimia
40,Deterrence,Dissuasão
41,FlashKilling,Flash Killing
42,Treasure,Tesouro
43,Profit,Lucro
44,Strengthen,Fortalecer
45,SteelPlate,Chapa de aço
46,Selected,Selecionado
47,Brewing,Produção de cerveja
48,LightningStrike,Golpe de relâmpago
49,EatSoul,Comer Alma
50,Regenerate,Regenerar
51,Patch,Remendo
52,StealArmor,Roubar Armaduras
53,StealingMedicine,Roubar Remédio
54,Breakthrough,Descoberta
55,Sweeping,Varrer
56,Smoking,Fumar
57,Confuse,Confundir
58,Sacrifice,Sacrifício
59,Casting,Lançar
60,Recovery,Recuperação
61,Lick,Lamber
62,Shanggong,Shanggong
63,Change,Mudança
64,Marching Bed,Cerveja de pressão
65,Crossbow Arrow,Besta
66,Saddle,Ombro
67,Stimulants,Armadura Coração
68,Anvil,Bigorna
69,Bellows,Martelo de ferro
70,Knee Pads,Botas Vida de primavera
71,Tent,Caldeirão de Campo
72,Catalyzer,Catalisador
73,Crystal,Cristal Mágico
74,Note,Tinta
75,Stunt Doll,Boneca de pé
76,Biography of the Gods,História dos Deuses
77,Deity Statue,Colar de Oração
78,Evolutionism,Teoria científica
79,Alchemy Handbook,Manual de alquimia
80,Conversion Potion,Poção de conversão
81,Alchemy Formula,Receitas de Alquimia
82,Blood Bag,Café
83,Charge,Espada Mágica
84,Bandage,Manual de Medicina
85,Needle and Thread,Kit de agulha e linha
86,Rum,Cristal da Saúde
87,Quiver,Cajado do Sol Ardente
88,Long Boots,Anel de recuperação
89,Kettle,Copo de água
90,Grenade,Besta Fantasma
91,Hand Cocoon,Luvas de Couro
92,Pistol,Arco de Gelo
93,Spear,Lança a cavalo
94,Horseshoe Iron,Escudo de carga
95,Glass,Cálice de Ouro
96,poison,Veneno
97,Cape,Manto de Ouro
98,Anti Armor,Armadura de Ombro do Demónio
99,Golden Beetle,Armadura de Ombro de Springwood
100,Heart,Coração de Dragão
101,Animal Skin,Talheres de Ouro
102,Cooking Pot,Martelo Encantado
103,Order Form,Ordens
104,Knapsack,Lâmpada antiga
105,Cake,Bandeira militar
106,Glove,Luvas de ladrão
107,Suncha,Espada mágica
108,Nut,Pedras coloridas
109,Beer,Flor de dragão
110,Wallet,Saco de dinheiro
111,Mushroom,Esporos
112,Refined Iron,Meteorito de ferro
113,Treasure Chest,Poção de ouro
114,Bomb,Bomba
115,Newborn,Recém-nascido
116,Trophy Box,Caixa de etiqueta de Deus
117,Brainwashing,Lavagem cerebral
118,Disperse,Dispersão
119,Obliterate,Apagar
130,Empty,
131,DmgNear,Causa {0} de dano ao inimigo mais próximo
132,DmgFar,Causa {0} de dano ao inimigo mais distante
133,DmgAll,Causa {0} de dano a todos os inimigos
134,DmgBattle,Causa {0} de dano ao inimigo alvo
135,DmgRandom,Causa {0} de dano a um inimigo aleatório
136,DmgRandomByOutValue,"Causa dano a um inimigo aleatório, adicionando {0} de dano por cada habilidade activada."
137,DmgRightLine,Causa {0} de dano aos inimigos na tua linha
138,DmgDownLine,Causa {0} de dano aos inimigos na tua coluna
139,DmgRightDownLine,Causa {0} de dano aos inimigos na tua linha ou coluna
140,DmgRight,Causa {0} de dano ao inimigo do teu lado direito
141,DmgDown,Causa {0} de dano ao inimigo no teu lado inferior
142,AddAllArmor,Todas as cartas de armadura +{0}
143,AddRandomArmor,Carta de armadura aleatória +{0}
144,AddAllHP,Todas as cartas de poção +{0}
145,AddRandomHP,Carta de poção aleatória +{0}
146,AddAllCoin,Todas as cartas de moedas +{0}
147,AddRandomCoin,Carta de moeda aleatória +{0}
148,LowPrice,Redução de preço das cartas de artefacto {0}
149,GetHP,Recuperar {0} saúde
150,GetHPMax,Saúde máxima +{0}
151,GetArmor,Ganhar {0} armaduras
152,GetCoin,Ganhar {0} moedas
153,GetTrophy,Ganhar {0} etiqueta de deus
154,RecoverAll,Recuperar toda a saúde
155,SwitchHPToArmor,Manter 1 de saúde e converter o resto em armadura
156,SwitchRightDown,Trocar as posições das cartas do lado direito com o lado de baixo
157,Shuffle,Perturbar as posições das cartas no xadrez
158,TransfomRandom,Transformar uma carta
161,StoleAllArmor,Roubar {0} armaduras de cada carta de armadura
162,StoleAllHP,Roubar {0} saúde de cada carta de poção
163,StoleAllCoin,Roubar {0} moedas de cada carta de moeda
164,StoleAllDmg,Tirar {0} saúde de cada carta de inimigo
165,StoleRightLine,Retirar {0} pontos de saúde de cada carta de inimigo na sua linha
166,StoleDownLine,Retirar {0} pontos de saúde de cada carta de inimigo na sua coluna
167,StoleRoundArmor,Retirar {0} armaduras das cartas de armadura próximas
168,StoleRoundHP,Retira {0} pontos de vida das cartas de saúde próximas
169,StoleRoundCoin,Roubar {0} moedas das cartas de moedas próximas
170,StoleRoundDmg,Retirar {0} pontos de saúde das cartas de poção próximas
171,LootRandomArmor,Saquear uma carta de armadura aleatória
172,LootRandomHP,Saquear uma carta de poção aleatória
173,LootRandomCoin,Saquear uma carta de moedas aleatória
174,FillArtifact,Ganha uma boneca de pé
175,DmgPlayer,Sofreu {0} de dano
176,DmgHP,Sofreu {0} de dano na saúde
177,DmgArmor,Sofreu {0} de dano na armadura
178,BleedHP,Sofreu {0} de dano de sangramento
179,CleanBuff,Remover todos os buffs
180,CleanMist,Dissipar névoa
181,KillRandom,Matar aleatoriamente um inimigo
182,FloorStart,No início de cada piso
183,CampStart,Ao entrar no acampamento
184,GenCard,Ao gerar cartas
185,Step,Ao mover-se
186,StepRight,Ao mover-se para a direita
187,StepDown,Ao mover-se para baixo
188,StepChange,Quando a direção do movimento muda
189,StepContinue,Ao mover-se continuamente numa direção
190,StepNoArmor,Quando se move sem armaduras
191,StepArmor,Quando se move com armaduras
192,StepFullHP,Quando se move com a saúde cheia
193,EnterBattle,Antes do combate
194,ExitBattle,Depois do combate
195,ExitBattleFullHP,Quando a saúde está cheia depois do combate
196,ExitBattleNoArmor,Quando sem armadura após o combate
197,LootHP,Quando pilhar uma carta de poção
198,LootArmor,Quando saquear a carta de armadura
199,LootCoin,Ao saquear carta de moedas
200,TriggerSkill,Quando ativar a habilidade
201,BuyArtifact,Quando comprar artefacto
202,BreakArmor,Ao quebrar armaduras
203,DeadHurt,Ao sofrer dano fatal
204,AbilityErrorFix,A carga recua em vez de ser eliminada quando a habilidade tem um ritmo incorreto
205,AbilityEscap,"Quando sofrer dano fatal, consuma um boneco de pé e saia do caminho"
206,AbilityAppendage,Reduzir o dano de combate em {0} ao transportar buff
207,AbilityBelief,"Ao saquear uma carta de buff, o buff ganha uma persistência adicional de {0}"
208,AbilityAtheism,Recupera {0} de saúde ao saquear uma carta de buff
209,AbilityAlchemy,Ganha a mesma quantidade de saúde quando ganha moedas
210,AbilityTransform,A etiqueta de cão e a moeda podem evitar danos se necessário
211,AbilityChemistry,"Ao ativar uma habilidade, ganha {0} etiqueta de cão"
212,BuffRecycle,Reciclar
213,BuffGoldBody,Corpo de Ouro
214,BuffExoskeleton,Exoesqueleto
215,BuffRage,Berserk
216,BuffGreedy,Ganância
217,BuffDispassion,Calma
218,BuffDescRecycle,As etiquetas para cães ganhas são convertidas em armaduras
219,BuffDescGoldBody,Moedas ganhas são convertidas em Saúde Máxima
220,BuffDescExoskeleton,A saúde ganha é convertida em armadura
221,BuffDescRage,"Os danos sofridos são reduzidos para metade, os recursos ganhos são reduzidos para metade."
222,BuffDescGreedy,Os danos de combate sofridos são duplicados e as moedas ganhas são duplicadas.
223,BuffDescDispassion,Não tem acesso a outros buffs
224,PropBomb,Bomba
225,PropNewLife,Recém-nascido
226,PropTrophyBox,Caixa de etiquetas de Deus
227,ProPurify,Lavagem cerebral
228,PropDispel,Dissipar
229,PropKill,Apagar
230,BossAddDmg,Aumentar {0} de dano
231,BossSubDmg,Diminuir {0} de dano
232,StageWindPlain,Planície de Vento
233,StageSunsetJungle,Selva do pôr do sol
234,StagePrimitiveforests,Florestas primitivas
235,StageScarletMountain,Montanha Escarlate
236,StageMistySwamp,Pântano da Névoa
237,StageMoonCanyon,Desfiladeiro da Lua
238,StageTheDeath,A Terra da Morte
239,StageMirageRuins,Ruínas Miragem
240,StageLavaPurgatory,Purgatório de lava
241,StageEndlessPurgatory,Inferno sem fim
242,StageFloorIndex,Piso {0}
243,UIContinue,Continuar
244,UIStartGame,Novo jogo
245,UITutorial,Tutorial
246,UIGallery,Galeria
247,UISetting,Cenário
248,UICredits,Créditos
249,UIExit,Sair
250,UIBack,Voltar
251,UIBattle,Lutar
252,UIChallenge,Desafio
253,UIVictory,VITÓRIA
254,UIFail,FALHAR
255,UIReplayWinTip,Jogar novamente e talvez ganhar
256,UIReplayTip,Quer jogar novamente?
257,UIMainMenu,Menu
258,UIReplay,Jogar de novo
259,UIUnlockText,Desbloqueado {0}
260,UIUnlockAll,"Concluiu todas as fases, fique atento para mais!"
261,UINormalMode,Jogo clássico
262,UIChallengeMode,Inferno Infinito 
263,UINameHp,Saúde
264,UINameArmor,Armaduras
265,UINameCoin,Moeda
266,UINameTropyh,Etiquetas para cães
267,UITipHp,Certifica-te de que é sempre superior a 0 ou morrerás
268,UITipArmor,Protege o teu corpo de danos
269,UITipCoin,Usado principalmente para comprar artefactos
270,UITipTrophy,"Obtido ao matar inimigos, usado para aprender habilidades no acampamento"
271,GameCamp,Parque de campismo
272,CardNameMist,Névoa
273,CardDescMist,A névoa está a bloquear a vista. Aproxima-te
274,CardNameRandom,Visões.
275,CardDescRandom,Só se sabe o que é realmente quando se entra nela
276,CardDmgText,Causa {0} danos a ti
277,CardNameCoin,Moedas
278,CardDescCoin,Ganha {0} moedas
279,CardNameArmor,Armadura
280,CardDescArmor,Ganha {0} armaduras
281,CardNameHP,Remédio para dor de ouro
282,CardDescHP,Recuperar {0} saúde
283,CardNameStair,Entrada
284,CardDescStair,Leva mais fundo
285,CardNameDoor,Porta
286,CardDescDoor,As portas são usadas para entrar
287,CardNameKey,Chave
288,CardDescKey,Abre uma porta
289,CardNameLadder,Penhasco
290,CardDescLadderRight,"Entra pela esquerda, senão podes ser ferido"
291,CardDescLadderDown,"Entra pela parte de cima, senão podes magoar-te"
