Id,key,text
1,English,English
2,Chinese,中文
3,Russian,русский язык
4,French,Français
5,German,Deutsch
6,Portuguese,Português
7,Spanish,Español
8,Japanese,日本語
9,Italian,Italiano
10,Continue,Продолжение
11,NewGame,Новая игра
12,Setting,Настройка
13,Exit,Выйти из игры
14,FullScreen,Полный экран
15,Windows,Окно
16,Fullscreen,Полноэкранное окно
17,Resolution,Разрешение
18,Language,Язык
19,Sound,Звук
20,Music,Музыка
21,SelectStageTip,Выберите подземелье
22,Warrior,Воин
23,Blacksmith,Кузнец
24,Priest,Шеф-повар
25,Magician,Маг
26,Scholar,Ученый
27,Alchemist,Алхимик
28,HeavyAttack,Тяжелая атака
29,Hack,Взломать
30,Repair,Ремонт
31,Substitution,Замена
32,Accomplishment,Достижение
33,Grow,Вырастить
34,Transposition,Транспозиция
35,MagicShuffle,Перестановка
36,Research,Исследование
37,Bargaining,Торговля
38,Reconstruction,Реконструкция
39,Alchemy,Алхимия
40,Deterrence,Сдерживание
41,FlashKilling,Внезапное убийство
42,Treasure,Сокровища
43,Profit,Прибыль
44,Strengthen,Усилить
45,SteelPlate,Стальная пластина
46,Selected,Избранное
47,Brewing,Пивоварение
48,LightningStrike,Удар молнии
49,EatSoul,Съесть душу
50,Regenerate,Регенерация
51,Patch,Заплатка
52,StealArmor,Кража доспехов
53,StealingMedicine,Кража лекарств
54,Breakthrough,Прорыв
55,Sweeping,Сметать
56,Smoking,Курение
57,Confuse,Запутать
58,Sacrifice,Жертвоприношение
59,Casting,Кастинг
60,Recovery,Восстановление
61,Lick,Лик
62,Shanggong,Shanggong
63,Change,Изменить
64,Marching Bed,Разливное пиво
65,Crossbow Arrow,Арбалет
66,Saddle,Плечо
67,Stimulants,Доспехи сердца
68,Anvil,Наковальня
69,Bellows,Железный молот
70,Knee Pads,Сапоги весенней жизни
71,Tent,Полевой котел
72,Catalyzer,Катализатор
73,Crystal,Магический кристалл
74,Note,Чернила
75,Stunt Doll,Стоячая кукла
76,Biography of the Gods,История богов
77,Deity Statue,Молитвенное ожерелье
78,Evolutionism,Научная теория
79,Alchemy Handbook,Руководство по алхимии
80,Conversion Potion,Зелье превращения
81,Alchemy Formula,Рецепты алхимии
82,Blood Bag,Кофе
83,Charge,Магический меч
84,Bandage,Медицинский справочник
85,Needle and Thread,Набор иголок и ниток
86,Rum,Кристалл здоровья
87,Quiver,Посох палящего солнца
88,Long Boots,Кольцо восстановления
89,Kettle,Кубок воды
90,Grenade,Призрачный арбалет
91,Hand Cocoon,Кожаные перчатки
92,Pistol,Ледяной лук
93,Spear,Копье для верховой езды
94,Horseshoe Iron,Зарядный щит
95,Glass,Золотая чаша
96,poison,Яд
97,Cape,Золотой плащ
98,Anti Armor,Наплечные доспехи демона
99,Golden Beetle,Плечевые доспехи Спрингвуда
100,Heart,Сердце дракона
101,Animal Skin,Золотые столовые приборы
102,Cooking Pot,Зачарованный молот
103,Order Form,Ордена
104,Knapsack,Старая лампа
105,Cake,Военный флаг
106,Glove,Перчатки вора
107,Suncha,Волшебный меч
108,Nut,Разноцветные камни
109,Beer,Цветок дракона
110,Wallet,Мешок для денег
111,Mushroom,Споры
112,Refined Iron,Железный метеорит
113,Treasure Chest,Золотое зелье
114,Bomb,Бомбочка
115,Newborn,Новорожденный
116,Trophy Box,Ящик с меткой бога
117,Brainwashing,Промывание мозгов
118,Disperse,Рассеивание
119,Obliterate,Стереть
130,Empty,
131,DmgNear,Наносит {0} урона ближайшему врагу
132,DmgFar,Наносит {0} урона ближайшему врагу
133,DmgAll,Наносит {0} урона всем врагам
134,DmgBattle,Наносит {0} урона целевому врагу
135,DmgRandom,Наносит {0} урона случайному врагу
136,DmgRandomByOutValue,"Наносит урон случайному врагу, добавляя {0} урона за каждое срабатывание умения."
137,DmgRightLine,Нанести {0} урона врагам в вашем ряду
138,DmgDownLine,"Нанести {0} урона врагам в колонке ""Вы"
139,DmgRightDownLine,"Нанести {0} урона врагам в строке или столбце ""Вы"
140,DmgRight,Нанесите {0} урона врагу справа от вас
141,DmgDown,Нанесите {0} урона противнику с нижней стороны
142,AddAllArmor,Все карты доспехов +{0}
143,AddRandomArmor,Случайная карта доспехов +{0}
144,AddAllHP,Все карты зелий +{0}
145,AddRandomHP,Случайная карта зелья +{0}
146,AddAllCoin,Все карты монет +{0}
147,AddRandomCoin,Случайная карта монет +{0}
148,LowPrice,Снижение цены карт артефактов {0}
149,GetHP,Восстановление {0} здоровья
150,GetHPMax,Максимальное здоровье +{0}
151,GetArmor,Получить {0} доспехов
152,GetCoin,Получить {0} монеты
153,GetTrophy,Получить {0} метку бога
154,RecoverAll,Восстановите все здоровье
155,SwitchHPToArmor,Сохраните 1 здоровье и превратите остальное в доспехи
156,SwitchRightDown,Поменяйте местами карты с правой стороны и с нижней стороны
157,Shuffle,Поменять местами карты на шахматах
158,TransfomRandom,Трансформировать карту
161,StoleAllArmor,Украсть {0} доспехов с каждой карты доспехов
162,StoleAllHP,Украдите {0} здоровья с каждой карты зелья
163,StoleAllCoin,Украдите {0} монеты с каждой карты монет
164,StoleAllDmg,Снять {0} здоровья с каждой карты врага
165,StoleRightLine,Снимите {0} здоровья с каждой карты врага в вашем ряду
166,StoleDownLine,Снимите {0} здоровья с каждой карты врага в вашем столбце
167,StoleRoundArmor,Возьмите {0} доспехов с ближайших карт доспехов
168,StoleRoundHP,Снимите {0} здоровья с ближайших карт здоровья
169,StoleRoundCoin,Украдите {0} монеты с ближайших карт монет
170,StoleRoundDmg,Извлеките {0} здоровья из ближайших карт зелий
171,LootRandomArmor,Разграбить случайную карту доспехов
172,LootRandomHP,Разграбить случайную карту зелья
173,LootRandomCoin,Разграбьте случайную карту монет
174,FillArtifact,Получите стоящую куклу
175,DmgPlayer,Получил {0} урона
176,DmgHP,Нанесено {0} урона здоровью
177,DmgArmor,Нанесено {0} урона доспехам
178,BleedHP,Получил {0} урона по кровотечению
179,CleanBuff,Снять все баффы
180,CleanMist,Рассеять туман
181,KillRandom,Случайно убейте врага
182,FloorStart,В начале каждого этажа
183,CampStart,При входе в лагерь
184,GenCard,При генерации карт
185,Step,При перемещении
186,StepRight,При движении вправо
187,StepDown,При движении вниз
188,StepChange,При изменении направления движения
189,StepContinue,При непрерывном движении в одном направлении
190,StepNoArmor,При движении без доспехов
191,StepArmor,При перемещении с доспехами
192,StepFullHP,При движении с полным здоровьем
193,EnterBattle,Перед боем
194,ExitBattle,После боя
195,ExitBattleFullHP,При полном здоровье после боя
196,ExitBattleNoArmor,Когда без доспехов после боя
197,LootHP,При разграблении карты зелья
198,LootArmor,При разграблении карты доспехов
199,LootCoin,При разграблении карты монет
200,TriggerSkill,При срабатывании умения
201,BuyArtifact,При покупке артефакта
202,BreakArmor,При разрушении доспехов
203,DeadHurt,При получении фатального урона
204,AbilityErrorFix,"При неправильном темпе умения заряд отступает, а не убирается"
205,AbilityEscap,При получении фатального урона расходуйте стоящую куклу и уходите с дороги
206,AbilityAppendage,Снижение урона боя на {0} при ношении баффа
207,AbilityBelief,При разграблении карты баффа бафф приобретает дополнительную {0} стойкость
208,AbilityAtheism,Восстановите {0} здоровья при разграблении карты баффа
209,AbilityAlchemy,"Приобретайте равное количество здоровья, когда получаете монеты"
210,AbilityTransform,"Жетон собаки и монеты могут предотвратить урон, если это необходимо"
211,AbilityChemistry,При срабатывании умения получайте {0} жетон собаки
212,BuffRecycle,Переработка
213,BuffGoldBody,Золотое тело
214,BuffExoskeleton,Экзоскелет
215,BuffRage,Берсерк
216,BuffGreedy,Жадность
217,BuffDispassion,Спокойствие
218,BuffDescRecycle,Полученный жетон собаки конвертируется в доспехи
219,BuffDescGoldBody,Полученные монеты конвертируются в максимальное здоровье
220,BuffDescExoskeleton,Полученное здоровье конвертируется в доспехи
221,BuffDescRage,"Нанесенный урон уменьшается вдвое, полученные ресурсы уменьшаются вдвое."
222,BuffDescGreedy,"Нанесенный в бою урон удваивается, а полученные монеты - удваиваются."
223,BuffDescDispassion,Нет доступа к другим баффам
224,PropBomb,Бомба
225,PropNewLife,Новорожденный
226,PropTrophyBox,Ящик с жетонами бога
227,ProPurify,Brainwash
228,PropDispel,Развеять
229,PropKill,Стереть
230,BossAddDmg,Увеличить {0} урон
231,BossSubDmg,Уменьшить {0} урон
232,StageWindPlain,Равнина ветров
233,StageSunsetJungle,Закатные джунгли
234,StagePrimitiveforests,Примитивные леса
235,StageScarletMountain,Алая гора
236,StageMistySwamp,Туманное болото
237,StageMoonCanyon,Лунный каньон
238,StageTheDeath,Земля смерти
239,StageMirageRuins,Руины Миража
240,StageLavaPurgatory,Лавовое чистилище
241,StageEndlessPurgatory,Бесконечный ад
242,StageFloorIndex,Этаж {0}
243,UIContinue,Продолжить
244,UIStartGame,Новая игра
245,UITutorial,Учебник
246,UIGallery,Галерея
247,UISetting,Настройка
248,UICredits,Кредиты
249,UIExit,Выход
250,UIBack,Назад
251,UIBattle,Бой
252,UIChallenge,Вызов
253,UIVictory,ПОБЕДА
254,UIFail,ПРОИГРАТЬ
255,UIReplayWinTip,"Сыграйте еще раз и, возможно, выиграйте"
256,UIReplayTip,Хотите сыграть еще раз?
257,UIMainMenu,Меню
258,UIReplay,Играть снова
259,UIUnlockText,Разблокировано {0}
260,UIUnlockAll,"Пройдены все этапы, следите за дальнейшими событиями!"
261,UINormalMode,Классическая игра
262,UIChallengeMode,Инфинити Инферно 
263,UINameHp,Здоровье
264,UINameArmor,Доспехи
265,UINameCoin,Монета
266,UINameTropyh,Жетон собаки
267,UITipHp,"Следите за тем, чтобы его значение всегда было больше 0, иначе вы умрете"
268,UITipArmor,Защищает ваше тело от повреждений
269,UITipCoin,В основном используется для покупки артефактов
270,UITipTrophy,"Получается при убийстве врагов, используется для изучения навыков в кемпинге"
271,GameCamp,Лагерь
272,CardNameMist,Туман
273,CardDescMist,Туман закрывает обзор. Подойдите ближе
274,CardNameRandom,Видения.
275,CardDescRandom,"Вы узнаете, что это такое на самом деле, только когда войдете в него."
276,CardDmgText,Наносит {0} урона вам
277,CardNameCoin,монеты
278,CardDescCoin,Получает {0} монет
279,CardNameArmor,Доспехи
280,CardDescArmor,Получите {0} доспехов
281,CardNameHP,Золотое лекарство от болячек
282,CardDescHP,Восстановить {0} здоровья
283,CardNameStair,Вход
284,CardDescStair,Ведет вглубь
285,CardNameDoor,Дверь
286,CardDescDoor,Двери используются для входа
287,CardNameKey,Ключ
288,CardDescKey,Открывает дверь
289,CardNameLadder,Скала
290,CardDescLadderRight,"Входите слева, иначе можете получить травму"
291,CardDescLadderDown,"Входите сверху, иначе можете получить травму"
292,CardNameCamp,Лагерь
293,CardDescCamp,Отдохните в кемпинге
294,CardNameFinal,Финишная черта
295,CardDescFinal,Наконец-то мы добрались до финиша.
296,CardNameThief,Трусливые воришки
297,CardDescThief,Всегда пытаются украсть что-нибудь у прохожего.
298,CardNameRobber,Грабители.
299,CardDescRobber,Заплатите {0} монет или получите равное количество урона
300,CardNameCollect,Грабитель с божьей меткой
