Id,key,text,
1,English,English,
2,Chinese,中文,
3,Russian,русский язык,
4,French,Français,
5,German,Deutsch,
6,Portuguese,Português,
7,Spanish,Español,
8,Japanese,日本語,
9,Italian,Italiano,
10,Continue,Continuar,
11,NewGame,Nuevo juego,
12,Setting,Configurar,
13,Exit,Salir de,
14,FullScreen,Pantalla completa,
15,Windows,Ventana,
16,Fullscreen,Pantalla completa,
17,Resolution,Resolución,
18,Language,Idioma,
19,Sound,Sonido,
20,Music,Música,
21,SelectStageTip,Seleccionar mazmorra,
22,Warrior,Guerrero,
23,Blacksmith,Herrero,
24,Priest,Chef,
25,Magician,Mago,
26,Scholar,Erudito,
27,Alchemist,Alquimista,
28,HeavyAttack,Ataque Pesado,
29,Hack,Hackear,
30,Repair,Reparación,
31,Substitution,Sustitución,
32,Accomplishment,Realización,
33,Grow,Crecer,
34,Transposition,Transposición,
35,MagicShuffle,Barajar,
36,Research,Investigación,
37,Bargaining,Negociación,
38,Reconstruction,Reconstrucción,
39,Alchemy,Alquimia,
40,Deterrence,Disuasión,
41,FlashKilling,Matanza relámpago,
42,Treasure,Tesoro,
43,Profit,Beneficio,
44,Strengthen,Fortalecer,
45,SteelPlate,Placa de acero,
46,Selected,Seleccionado,
47,Brewing,Elaboración de cerveza,
48,LightningStrike,Golpe de rayo,
49,EatSoul,Comer alma,
50,Regenerate,Regenerar,
51,Patch,Parche,
52,StealArmor,Robar armadura,
53,StealingMedicine,Robar Medicina,
54,Breakthrough,Avance,
55,Sweeping,Barrer,
56,Smoking,Fumar,
57,Confuse,Confundir,
58,Sacrifice,Sacrificio,
59,Casting,Lanzar,
60,Recovery,Recuperación,
61,Lick,Lamer,
62,Shanggong,Shanggong,
63,Change,Cambiar,
64,Marching Bed,Cerveza de barril,
65,Crossbow Arrow,Ballesta,
66,Saddle,Hombro,
67,Stimulants,Armadura de corazón,
68,Anvil,Yunque,
69,Bellows,Martillo de hierro,
70,Knee Pads,Botas Spring Life,
71,Tent,Caldero de Campo,
72,Catalyzer,Catalizador,
73,Crystal,Cristal mágico,
74,Note,Tinta,
75,Stunt Doll,Muñeca de pie,
76,Biography of the Gods,Historia de Dioses,
77,Deity Statue,Collar de oración,
78,Evolutionism,Teoría científica,
79,Alchemy Handbook,Manual de alquimia,
80,Conversion Potion,Poción de conversión,
81,Alchemy Formula,Recetas de Alquimia,
82,Blood Bag,Café,
83,Charge,Espada mágica,
84,Bandage,Manual de Medicina,
85,Needle and Thread,Kit de aguja e hilo,
86,Rum,Cristal de la salud,
87,Quiver,Bastón del Sol Ardiente,
88,Long Boots,Anillo de recuperación,
89,Kettle,Vaso de agua,
90,Grenade,Ballesta fantasma,
91,Hand Cocoon,Guantes de cuero,
92,Pistol,Arco de Hielo,
93,Spear,Lanza a caballo,
94,Horseshoe Iron,Escudo de carga,
95,Glass,Cáliz de oro,
96,poison,Veneno,
97,Cape,Capa de Oro,
98,Anti Armor,Armadura de hombro de demonio,
99,Golden Beetle,Armadura de hombro Springwood,
100,Heart,Corazón de Dragón,
101,Animal Skin,Cubertería de oro,
102,Cooking Pot,Martillo encantado,
103,Order Form,Órdenes,
104,Knapsack,Lámpara antigua,
105,Cake,Bandera militar,
106,Glove,Guantes de ladrón,
107,Suncha,Espada mágica,
108,Nut,Piedras de colores,
109,Beer,Flor de dragón,
110,Wallet,Bolsa de dinero,
111,Mushroom,Esporas,
112,Refined Iron,Meteorito Hierro,
113,Treasure Chest,Poción de oro,
114,Bomb,Bomba,
115,Newborn,Recién nacido,
116,Trophy Box,Etiqueta de Dios,
117,Brainwashing,Lavado de cerebro,
118,Disperse,Dispersión,
119,Obliterate,Borrar,
130,Empty,,
131,DmgNear,Inflige {0} puntos de daño al enemigo más cercano,
132,DmgFar,Inflige {0} puntos de daño al enemigo más lejano,
133,DmgAll,Inflige {0} puntos de daño a todos los enemigos,
134,DmgBattle,Inflige {0} puntos de daño al enemigo objetivo,
135,DmgRandom,Inflige {0} puntos de daño a un enemigo aleatorio,
136,DmgRandomByOutValue,"Inflige daño a un enemigo aleatorio, añadiendo {0} puntos de daño por cada habilidad activada.",
137,DmgRightLine,Inflige {0} puntos de daño a los enemigos de tu fila.,
138,DmgDownLine,Inflige {0} puntos de daño a los enemigos de tu columna.,
139,DmgRightDownLine,Inflige {0} puntos de daño a los enemigos de tu fila o columna.,
140,DmgRight,Inflige {0} puntos de daño a los enemigos de tu lado derecho.,
141,DmgDown,Inflige {0} puntos de daño al enemigo de tu lado inferior.,
142,AddAllArmor,Todas las cartas de armadura +{0},
143,AddRandomArmor,Carta de armadura aleatoria +{0},
144,AddAllHP,Todas las cartas de poción +{0},
145,AddRandomHP,Carta de poción aleatoria +{0},
146,AddAllCoin,Todas las cartas de moneda +{0},
147,AddRandomCoin,Cartas de monedas aleatorias +{0},
148,LowPrice,Reducción del precio de las cartas de artefacto {{0}},
149,GetHP,Recuperar {{0}} salud,
150,GetHPMax,Salud máxima +{0},
151,GetArmor,Ganar {0} armaduras,
152,GetCoin,Ganar {0} monedas,
153,GetTrophy,Ganar {0} etiqueta de dios,
154,RecoverAll,Recuperar toda la salud,
155,SwitchHPToArmor,Conservar 1 salud y convertir el resto en armaduras,
156,SwitchRightDown,Intercambiar las posiciones de las cartas en el lado derecho con el lado inferior,
157,Shuffle,Intercambiar las posiciones de las cartas en el ajedrez,
158,TransfomRandom,Transformar una carta,
161,StoleAllArmor,Robar {0} armaduras de cada carta de armadura,
162,StoleAllHP,Robar {0} salud de cada carta de poción,
163,StoleAllCoin,Robar {0} monedas de cada carta de moneda,
164,StoleAllDmg,Robar {0} salud de cada carta de enemigo,
165,StoleRightLine,Roba {0} salud de cada carta enemiga de tu fila,
166,StoleDownLine,Robar {0} de salud de cada carta enemiga de tu columna,
167,StoleRoundArmor,Roba {0} armaduras de las cartas de armadura cercanas,
168,StoleRoundHP,Robar {0} salud de las cartas de salud cercanas,
169,StoleRoundCoin,Robar {0} monedas de las cartas de monedas cercanas,
170,StoleRoundDmg,Robar {0} salud de las cartas de poción cercanas,
171,LootRandomArmor,Saquear una carta de armadura al azar,
172,LootRandomHP,Robar una carta de poción al azar,
173,LootRandomCoin,Robar una carta de moneda al azar,
174,FillArtifact,Consigue una muñeca de pie,
175,DmgPlayer,Has sufrido {0} puntos de daño,
176,DmgHP,Has sufrido {0} puntos de daño a la salud,
177,DmgArmor,Sufrido {0} daño a armaduras,
178,BleedHP,Sufrido {0} daño a la hemorragia,
179,CleanBuff,Elimina todos los buff,
180,CleanMist,Disipa la niebla,
181,KillRandom,Mata a un enemigo al azar,
182,FloorStart,Al principio de cada planta,
183,CampStart,Al entrar en el campamento,
184,GenCard,Al generar cartas,
185,Step,Al moverte,
186,StepRight,Al moverte a la derecha,
187,StepDown,Al desplazarse hacia abajo,
188,StepChange,Al cambiar de dirección,
189,StepContinue,Al moverse continuamente en una dirección,
190,StepNoArmor,Al desplazarse sin armadura,
191,StepArmor,Al moverse con armadura,
192,StepFullHP,Cuando te mueves con toda la salud,
193,EnterBattle,Antes del combate,
194,ExitBattle,Después del combate,
195,ExitBattleFullHP,Con toda la salud después del combate,
196,ExitBattleNoArmor,Sin armadura después del combate,
197,LootHP,Cuando saqueas una poción,
198,LootArmor,Cuando saqueas una carta de armadura,
199,LootCoin,Cuando saqueas la carta de monedas,
200,TriggerSkill,Al activar la habilidad,
201,BuyArtifact,Al comprar artefacto,
202,BreakArmor,Al romper armaduras,
203,DeadHurt,Al sufrir daño fatal,
204,AbilityErrorFix,La carga retrocede en lugar de eliminarse cuando el ritmo de la habilidad es incorrecto.,
205,AbilityEscap,"Al sufrir daño fatal, consume una muñeca de pie y quítate de en medio",
206,AbilityAppendage,Reduce el daño de combate en {0} al llevar buff,
207,AbilityBelief,"Al saquear una carta de buff, el buff gana {0} de persistencia adicional.",
208,AbilityAtheism,Recupera {0} puntos de salud al saquear una carta de buff.,
209,AbilityAlchemy,Ganas la misma cantidad de salud cuando obtienes monedas.,
210,AbilityTransform,La placa de identificación y las monedas pueden protegerte del daño si es necesario.,
211,AbilityChemistry,"Al activar una habilidad, obtienes {0} placa de identificación.",
212,BuffRecycle,Recicla,
213,BuffGoldBody,Cuerpo de oro,
214,BuffExoskeleton,Exoesqueleto,
215,BuffRage,Berserk,
216,BuffGreedy,Codicia,
217,BuffDispassion,Calma,
218,BuffDescRecycle,La placa de identificación obtenida se convierte en armadura, 
219,BuffDescGoldBody,La moneda obtenida se convierte en salud máxima,
220,BuffDescExoskeleton,La salud obtenida se convierte en armadura.,
221,BuffDescRage,El daño sufrido se reduce a la mitad y los recursos obtenidos se reducen a la mitad.,
222,BuffDescGreedy,El daño sufrido en combate se duplica y las monedas obtenidas se duplican.,
223,BuffDescDispassion,Sin acceso a otros buff.,
224,PropBomb,Bomba,
225,PropNewLife,Recién nacido,
226,PropTrophyBox,Caja de etiquetas de Dios,
227,ProPurify,Lavado de cerebro,
228,PropDispel,Disipar,
229,PropKill,Borrar,
230,BossAddDmg,Aumentar {0} daño,
231,BossSubDmg,Disminuye {0} daño,
232,StageWindPlain,Llanura del viento,
233,StageSunsetJungle,Selva del ocaso,
234,StagePrimitiveforests,Bosques primitivos,
235,StageScarletMountain,Montaña Escarlata,
236,StageMistySwamp,Pantano de Niebla,
237,StageMoonCanyon,Cañón de la Luna,
238,StageTheDeath,La Tierra de la Muerte,
239,StageMirageRuins,Ruinas del Espejismo,
240,StageLavaPurgatory,Purgatorio de lava,
241,StageEndlessPurgatory,Infierno sin fin,
242,StageFloorIndex,Planta {0},
243,UIContinue,Continuar,
244,UIStartGame,Nuevo Juego,
245,UITutorial,Tutorial,
246,UIGallery,Galería,
247,UISetting,Configuración,
248,UICredits,Créditos,
249,UIExit,Salir,
250,UIBack,Volver,
251,UIBattle,Lucha,
252,UIChallenge,Desafío,
253,UIVictory,VICTORIA,
254,UIFail,FRACASAR,
255,UIReplayWinTip,Vuelve a jugar y quizá ganes,
256,UIReplayTip,¿Quieres volver a jugar?,
257,UIMainMenu,Menú,
258,UIReplay,Volver a jugar,
259,UIUnlockText,Desbloqueado {0},
260,UIUnlockAll,"Has completado todas las fases, ¡sigue jugando!",
261,UINormalMode,Juego clásico,
262,UIChallengeMode,Infierno Infinito ,
263,UINameHp,Salud,
264,UINameArmor,Armaduras,
265,UINameCoin,Monedas,
266,UINameTropyh,Placa de identificación,
267,UITipHp,Asegúrate de que siempre sea mayor que 0 o morirás,
268,UITipArmor,Protege tu cuerpo del daño,
269,UITipCoin,Se usa principalmente para comprar artefactos,
270,UITipTrophy,"Obtenido matando enemigos, usado para aprender habilidades en el campamento",
271,GameCamp,Campamento,
272,CardNameMist,Niebla,
273,CardDescMist,La niebla bloquea la vista. Acércate,
274,CardNameRandom,Visiones.,
275,CardDescRandom,Sólo sabes lo que es realmente cuando entras en ella,
276,CardDmgText,Te inflige {0} daño.,
277,CardNameCoin,Monedas,
278,CardDescCoin,Gana {0} monedas,
279,CardNameArmor,Armaduras,
280,CardDescArmor,Gana {0} armaduras,
